id,sex,age,marital,child,educ,source,smoke,smokenum,op1,op2,op3,op4,op5,op6,mast1,mast2,mast3,mast4,mast5,mast6,mast7,pn1,pn2,pn3,pn4,pn5,pn6,pn7,pn8,pn9,pn10,pn11,pn12,pn13,pn14,pn15,pn16,pn17,pn18,pn19,pn20,lifsat1,lifsat2,lifsat3,lifsat4,lifsat5,pss1,pss2,pss3,pss4,pss5,pss6,pss7,pss8,pss9,pss10,sest1,sest2,sest3,sest4,sest5,sest6,sest7,sest8,sest9,sest10,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,rop2,rop4,rop6,rmast1,rmast3,rmast4,rmast6,rmast7,rpss4,rpss5,rpss7,rpss8,rsest3,rsest5,rsest7,rsest9,rsest10,rpc1,rpc2,rpc7,rpc11,rpc15,rpc16,toptim,tmast,tposaff,tnegaff,tlifesat,tpstress,tslfest,tmarlow,tpcoiss,agegp3,agegp5,educrec,lg10negaff,mah_1,coo_1,mah_2
138,MALES,27,SINGLE,NO,COMPLETED HIGHSCHOOL,WORK,YES,100.0,5.0,1.0,5.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0,4.0,4.0,3.0,4.0,2.0,5.0,4.0,4.0,5.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,2.0,2.0,5.0,5.0,4.0,2.0,4.0,3.0,1.0,3.0,4.0,4.0,1.0,4.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,3.0,5.0,1.0,5.0,2.0,3.0,3.0,5.0,5.0,2.0,1.0,2.0,4.0,2.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,2.0,4.0,3.0,2.0,4.0,1.0,1.0,4.0,2.0,30.0,25.0,41.0,33.0,23.0,23.0,35.0,2.0,48.0,18 - 29,25 - 32,completed high school,1.51851393987789,3.66105141694082,0.0031414738765394,11.1368655542926
184,FEMALES,34,MARRIED FIRST TIME,YES,COMPLETED UNDERGRADUATE,FAMILY,NO,0.0,4.0,1.0,4.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,4.0,3.0,1.0,4.0,5.0,3.0,4.0,1.0,4.0,3.0,4.0,3.0,1.0,4.0,4.0,4.0,2.0,3.0,1.0,5.0,3.0,2.0,2.0,6.0,7.0,6.0,7.0,5.0,2.0,1.0,2.0,5.0,5.0,2.0,4.0,4.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,4.0,2.0,4.0,5.0,3.0,3.0,1.0,2.0,2.0,5.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,2.0,4.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,1.0,2.0,2.0,28.0,26.0,37.0,25.0,31.0,16.0,37.0,6.0,43.0,30 - 44,33 - 40,completed undergrad uni,1.39794000867204,6.77126396686263,0.0431995275193601,11.0069094415789
183,MALES,35,SINGLE,NO,SOME ADDITIONAL TRAINING,LIFE IN GENERAL,NO,0.0,2.0,4.0,5.0,5.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,3.0,4.0,3.0,2.0,4.0,2.0,4.0,3.0,4.0,1.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,4.0,16.0,17.0,11.0,20.0,5.0,34.0,23.0,5.0,52.0,30 - 44,33 - 40,some additional training,1.30102999566398,1.45248639408866,0.0008230486313564,10.863432644693
144,FEMALES,43,MARRIED FIRST TIME,YES,SOME SECONDARY,SPOUSE OR PARTNER,NO,,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,5.0,1.0,1.0,5.0,5.0,1.0,4.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,5.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,1.0,5.0,1.0,1.0,1.0,5.0,4.0,4.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,3.0,3.0,1.0,4.0,1.0,5.0,5.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,4.0,5.0,5.0,5.0,4.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,20.0,18.0,16.0,39.0,8.0,42.0,27.0,3.0,29.0,30 - 44,41 - 49,did not complete high school,1.61278385671974,7.21156810827418,0.0199133782131563,10.7093941172121
57,MALES,50,MARRIED FIRST TIME,YES,SOME ADDITIONAL TRAINING,WORK,NO,0.0,4.0,3.0,1.0,4.0,4.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,5.0,3.0,3.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,6.0,6.0,3.0,2.0,3.0,5.0,4.0,1.0,5.0,5.0,3.0,2.0,4.0,4.0,1.0,4.0,1.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,4.0,5.0,3.0,4.0,2.0,1.0,4.0,3.0,4.0,1.0,3.0,4.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,5.0,5.0,5.0,4.0,17.0,21.0,20.0,16.0,27.0,19.0,38.0,5.0,65.0,45+,50+,some additional training,1.20411998265592,0.333857295168029,0.003182843912067,9.65061804425171
491,MALES,57,MARRIED FIRST TIME,NO,SOME ADDITIONAL TRAINING,HEALTH/ILLNESS,YES,200.0,1.0,3.0,5.0,3.0,1.0,5.0,4.0,4.0,1.0,3.0,2.0,4.0,4.0,3.0,3.0,5.0,1.0,5.0,5.0,2.0,4.0,3.0,1.0,3.0,1.0,3.0,5.0,1.0,4.0,3.0,3.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,4.0,4.0,2.0,5.0,3.0,4.0,5.0,3.0,5.0,1.0,4.0,2.0,4.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,2.0,1.0,2.0,3.0,2.0,3.0,4.0,1.0,4.0,2.0,4.0,2.0,2.0,4.0,5.0,3.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,5.0,4.0,4.0,14.0,15.0,25.0,37.0,7.0,30.0,25.0,3.0,57.0,45+,50+,some additional training,1.56820172406699,3.37207946006948,0.0004857985764822,9.55624249909229
41,FEMALES,37,SEPARATED,YES,COMPLETED HIGHSCHOOL,WORK,NO,0.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,2.0,2.0,3.0,5.0,3.0,1.0,5.0,3.0,3.0,4.0,1.0,5.0,5.0,1.0,2.0,2.0,1.0,5.0,2.0,2.0,4.0,5.0,2.0,2.0,2.0,6.0,2.0,5.0,5.0,5.0,2.0,3.0,2.0,3.0,3.0,5.0,5.0,2.0,2.0,3.0,2.0,2.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,5.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,19.0,23.0,19.0,39.0,14.0,40.0,18.0,6.0,38.0,30 - 44,33 - 40,completed high school,1.63346845557959,5.86200881489354,0.0308948504714126,9.23422256958016
6,FEMALES,41,DIVORCED,YES,POSTGRADUATE COMPLETED,WORK,NO,0.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,3.0,4.0,4.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,5.0,4.0,5.0,5.0,2.0,4.0,4.0,4.0,3.0,2.0,5.0,2.0,2.0,5.0,5.0,4.0,4.0,1.0,4.0,1.0,3.0,3.0,4.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,5.0,4.0,5.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,21.0,16.0,23.0,24.0,21.0,42.0,35.0,4.0,66.0,30 - 44,41 - 49,completed postgrad uni,1.38021124171161,4.09817556938257,0.0356562765871801,9.21561356142105
157,FEMALES,19,SINGLE,NO,COMPLETED HIGHSCHOOL,LIFE IN GENERAL,NO,0.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,5.0,5.0,3.0,4.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,5.0,3.0,3.0,2.0,2.0,5.0,3.0,3.0,1.0,2.0,1.0,2.0,5.0,5.0,5.0,3.0,2.0,5.0,3.0,2.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,2.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,5.0,2.0,2.0,3.0,4.0,5.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,5.0,5.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,17.0,14.0,22.0,36.0,9.0,44.0,21.0,3.0,37.0,18 - 29,18 - 24,completed high school,1.55630250076729,5.0710136625097,0.0183584882961445,9.04580668892445
287,FEMALES,25,SINGLE,NO,COMPLETED UNDERGRADUATE,WORK,NO,0.0,4.0,2.0,3.0,1.0,5.0,1.0,1.0,4.0,1.0,3.0,4.0,2.0,1.0,4.0,4.0,5.0,1.0,2.0,3.0,2.0,5.0,2.0,1.0,5.0,3.0,3.0,5.0,3.0,2.0,3.0,3.0,5.0,5.0,1.0,1.0,4.0,7.0,7.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,2.0,1.0,5.0,4.0,4.0,1.0,3.0,1.0,3.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,3.0,5.0,3.0,5.0,4.0,4.0,3.0,1.0,5.0,4.0,3.0,2.0,1.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,1.0,5.0,4.0,5.0,26.0,25.0,27.0,39.0,20.0,33.0,36.0,9.0,66.0,18 - 29,25 - 32,completed undergrad uni,1.5910646070265,0.665424219368921,0.0061438534224315,9.03069324332308
53,MALES,23,SINGLE,NO,COMPLETED HIGHSCHOOL,WORK,NO,,4.0,5.0,3.0,4.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,4.0,2.0,2.0,2.0,3.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,2.0,5.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,2.0,5.0,5.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,3.0,2.0,3.0,2.0,4.0,1.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,5.0,1.0,2.0,2.0,2.0,2.0,14.0,20.0,22.0,19.0,17.0,39.0,28.0,1.0,41.0,18 - 29,18 - 24,completed high school,1.27875360095283,2.91003403684638,0.0102046109294088,8.96610304411742
330,FEMALES,53,MARRIED FIRST TIME,NO,SOME SECONDARY,HEALTH/ILLNESS,NO,0.0,3.0,5.0,5.0,5.0,2.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,1.0,1.0,1.0,4.0,1.0,5.0,1.0,5.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,5.0,5.0,7.0,6.0,7.0,2.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,3.0,3.0,5.0,5.0,4.0,3.0,4.0,3.0,4.0,1.0,4.0,2.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,13.0,11.0,17.0,35.0,23.0,42.0,20.0,4.0,60.0,45+,50+,did not complete high school,1.54406804435028,9.88816896080127,0.0350147673834971,8.79440798932922
