id,rsex,typeschl,sclotbul,stfbuljb,gotostaf,schlbul,ubullsch,oftenbul,ubulloth,oftenub
44.0,Female,Grammar,A little,Yes,It depends,Don't know,No,,No,
45.0,Female,Grammar,A little,Yes,It depends,Yes,Yes,Not at all,No,
46.0,Female,Grammar,A little,No,,Yes,No,,No,
47.0,Female,Grammar,A little,Yes,Would talk to them,Yes,No,,No,
48.0,Male,Grammar,A little,Yes,It depends,Yes,Yes,Not at all,No,
49.0,Male,Grammar,A little,Yes,Would not talk to them,No,Yes,Not at all,No,
50.0,Female,Grammar,A little,Yes,It depends,Yes,No,,No,
51.0,Female,Grammar,Not at all,Yes,It depends,Yes,No,,No,
52.0,Female,Grammar,A little,No,,No,No,,No,
53.0,Female,Grammar,A little,Don't know,,No,Yes,A little,No,
54.0,Male,Secondary,Don't know,Yes,Don't know,Don't know,No,,No,
55.0,Female,Grammar,A lot,Don't know,,Don't know,No,,No,
56.0,Female,Grammar,A little,Yes,Would not talk to them,Don't know,No,,No,
57.0,Female,Grammar,A little,Don't know,,Yes,Yes,Not at all,No,
58.0,Male,Planned Integrated,Not at all,Yes,It depends,Yes,No,,No,
59.0,Female,Grammar,A little,Don't know,,No,No,,No,
60.0,Female,Grammar,Don't know,Yes,It depends,No,No,,No,
61.0,Female,Secondary,A lot,Yes,It depends,Yes,Yes,A little,No,
62.0,Male,Grammar,A little,No,,No,No,,No,
63.0,Female,Grammar,A little,Yes,Would not talk to them,Yes,No,,No,
64.0,Female,Secondary,A lot,Yes,Would not talk to them,No,No,,No,
65.0,Male,Secondary,A lot,No,,No,No,,No,
66.0,Female,Grammar,Don't know,Don't know,,Yes,No,,No,
67.0,Female,Grammar,Don't know,Yes,Would talk to them,Yes,No,,No,
68.0,Female,Secondary,A little,Don't know,,No,Yes,Not at all,No,
69.0,Female,Grammar,Don't know,Don't know,,Don't know,No,,No,
70.0,Female,Secondary,A little,Don't know,,No,Yes,A little,No,
71.0,Female,Secondary,A lot,Yes,It depends,Yes,Yes,A little,Yes,A little
72.0,Female,Secondary,A little,Yes,It depends,Yes,No,,No,
73.0,Female,Grammar,A lot,Yes,It depends,Yes,Yes,A little,No,
74.0,Female,Grammar,A little,Yes,It depends,No,Yes,Not at all,No,
75.0,Female,Grammar,A little,Yes,It depends,No,No,,No,
76.0,Female,Secondary,A little,,,,No,,No,
77.0,Female,Grammar,Not at all,No,,Yes,No,,No,
78.0,Female,Secondary,A little,Yes,It depends,Yes,No,,No,
79.0,Female,Grammar,A lot,Yes,It depends,Yes,Yes,A lot,No,
80.0,Male,Grammar,A little,Yes,It depends,Yes,Yes,A little,Yes,A little
81.0,Male,Secondary,A little,Yes,It depends,,No,,No,
82.0,Female,Secondary,A little,Yes,It depends,No,No,,No,
83.0,Female,Secondary,A lot,No,,No,Yes,A little,No,
84.0,Female,Grammar,A little,Don't know,,Yes,No,,No,
85.0,Male,Grammar,Not at all,Yes,Would talk to them,Yes,No,,No,
86.0,Female,Secondary,A little,Don't know,,No,Yes,Not at all,Yes,Not at all 
87.0,Female,Grammar,A little,No,,No,Yes,Not at all,Yes,Not at all 
88.0,Female,Grammar,A little,Yes,Would talk to them,Yes,No,,No,
89.0,Male,Secondary,A little,Yes,It depends,Don't know,No,,No,
90.0,Female,Grammar,A little,Don't know,,Don't know,Yes,Not at all,No,
91.0,Female,Grammar,Don't know,Don't know,,Yes,No,,No,
92.0,Male,Planned Integrated,Don't know,Yes,It depends,Yes,No,,No,
93.0,Male,Secondary,A little,Yes,It depends,Yes,No,,No,
94.0,Female,Secondary,A little,Yes,It depends,,Yes,A little,No,
95.0,Male,Grammar,A little,Yes,Would talk to them,Yes,Yes,Not at all,No,
96.0,Male,Secondary,A little,Yes,It depends,No,No,,No,
97.0,Female,Secondary,A little,Don't know,,No,No,,No,
98.0,Female,Secondary,A lot,Yes,It depends,Don't know,Yes,Not at all,No,
,Female,Secondary,A little,Yes,Would not talk to them,Yes,No,,No,
100.0,Male,Grammar,A lot,Yes,It depends,No,Yes,A little,No,
101.0,Male,Grammar,,,,,,,,
102.0,Female,Secondary,A little,Yes,It depends,Yes,No,,No,
103.0,Male,Grammar,Don't know,Yes,Would not talk to them,Don't know,No,,No,
104.0,Female,Grammar,A little,No,,No,Yes,Not at all,No,
105.0,Male,Grammar,A little,Yes,It depends,No,No,,No,
106.0,Female,Grammar,A little,Yes,It depends,Yes,No,,No,
107.0,Female,Grammar,A little,Don't know,,Yes,No,,No,
108.0,Female,Secondary,A little,Yes,It depends,Don't know,No,,No,
109.0,Female,Secondary,A little,No,,No,No,,No,
110.0,Female,Grammar,A little,Yes,It depends,Yes,No,,No,
111.0,Female,Grammar,A little,Yes,It depends,Yes,No,,No,
112.0,Female,Secondary,Don't know,Yes,It depends,Yes,No,,No,
113.0,Female,Planned Integrated,A lot,Yes,Would not talk to them,No,No,,No,
114.0,Female,Grammar,A little,Yes,It depends,Yes,Yes,Not at all,No,
115.0,Female,Secondary,A little,Don't know,,Yes,No,,No,
116.0,Male,Grammar,A little,Yes,It depends,Yes,Yes,Not at all,Yes,Not at all 
117.0,Male,Grammar,Don't know,Yes,It depends,Yes,No,,No,
118.0,Female,Secondary,A little,Yes,Would talk to them,No,Yes,Not at all,No,
119.0,Female,Grammar,A little,Yes,It depends,Yes,No,,No,
120.0,Male,Grammar,A little,Yes,Would not talk to them,Yes,Yes,A little,No,
121.0,Male,,,,,,,,,
122.0,Male,Grammar,A little,Yes,Would not talk to them,Yes,No,,No,
123.0,Female,Grammar,A little,Don't know,,Don't know,No,,No,
124.0,Male,Grammar,A little,Yes,Would talk to them,Yes,No,,No,
125.0,Male,Grammar,A lot,Don't know,,Yes,Yes,Not at all,No,
126.0,Male,Grammar,A little,Don't know,,Yes,Yes,A little,No,
127.0,Male,Grammar,A little,Yes,It depends,Don't know,No,,No,
128.0,Male,Secondary,Don't know,Don't know,,Don't know,No,,No,
129.0,Female,Grammar,A little,No,,No,No,,No,
130.0,Male,Secondary,A little,Yes,It depends,Yes,Yes,Not at all,Yes,A little
131.0,Male,Planned Integrated,A little,Yes,It depends,Yes,No,,No,
132.0,Female,Grammar,A little,Yes,Would not talk to them,Yes,No,,No,
133.0,Female,Grammar,A little,No,,No,No,,No,
134.0,Male,Secondary,A little,Yes,Would talk to them,Yes,No,,No,
135.0,Male,Planned Integrated,A little,Yes,Would not talk to them,Yes,No,,No,
136.0,Male,Secondary,A little,Yes,It depends,Yes,No,,No,
137.0,Female,Grammar,A little,No,,No,Yes,A lot,No,
138.0,Female,Secondary,A little,Yes,Would not talk to them,Yes,Yes,A little,No,
139.0,Female,Secondary,A lot,No,,Don't know,No,,No,
140.0,Male,Secondary,A little,Yes,It depends,Yes,Yes,A little,No,
141.0,Male,Secondary,A little,No,,Yes,No,,No,
142.0,Male,Grammar,A lot,Don't know,,No,Yes,A little,No,
143.0,Female,Secondary,A little,Don't know,,Don't know,No,,No,
144.0,Female,Grammar,A little,Yes,It depends,Yes,No,,No,
145.0,Male,Secondary,A little,Yes,Would not talk to them,Yes,No,,No,
146.0,Male,Secondary,A lot,Yes,Would talk to them,Yes,Yes,Not at all,No,
147.0,Female,Grammar,A little,Yes,It depends,Yes,No,,Yes,Not at all 
148.0,Male,Grammar,A little,Yes,It depends,Don't know,Yes,Not at all,No,
149.0,Female,Grammar,A little,No,,Don't know,No,,No,
150.0,Male,Grammar,A little,Yes,It depends,Yes,No,,Yes,Not at all 
151.0,Female,Secondary,A little,Don't know,,No,Yes,Not at all,No,
152.0,Female,Grammar,A little,No,,No,No,,No,
153.0,Male,Grammar,Don't know,Yes,Would talk to them,Yes,No,,No,
154.0,Female,Secondary,A little,Yes,It depends,Yes,Yes,Not at all,No,
155.0,Female,Grammar,A little,No,,No,No,,,
156.0,Female,Grammar,Don't know,Yes,It depends,Don't know,No,,No,
157.0,Female,Grammar,A little,Don't know,,No,Yes,Not at all,No,
158.0,Female,Secondary,A little,Yes,Would not talk to them,No,Yes,Not at all,No,
159.0,Male,Secondary,A little,No,,No,No,,No,
160.0,Female,Secondary,A little,No,,No,No,,No,
161.0,Male,Grammar,A little,Don't know,,No,No,,No,
162.0,Male,Grammar,Don't know,Don't know,,Don't know,No,,No,
163.0,Female,Secondary,A little,Yes,Would talk to them,Yes,No,,No,
164.0,Female,Grammar,A little,Yes,Would not talk to them,No,No,,No,
165.0,Male,Grammar,Don't know,Yes,It depends,No,No,,No,
166.0,Female,Grammar,A little,Don't know,,Yes,Yes,Not at all,No,
167.0,Male,Secondary,Don't know,Yes,It depends,Yes,No,,No,
168.0,Female,Grammar,Not at all,Yes,It depends,Yes,No,,Yes,Not at all 
169.0,Female,Grammar,Not at all,Don't know,,Don't know,No,,No,
170.0,Male,Planned Integrated,A little,No,,Yes,No,,No,
171.0,Male,Secondary,A little,Don't know,,Yes,No,,No,
172.0,Male,Secondary,A little,No,,No,No,,Yes,A little
173.0,Female,Secondary,A little,Yes,It depends,Yes,No,,No,
174.0,Male,Grammar,A little,Don't know,,No,No,,No,
175.0,Female,Grammar,A little,Yes,It depends,Yes,Yes,Not at all,No,
176.0,Male,Grammar,Not at all,Yes,Would talk to them,Yes,No,,No,
177.0,Female,Secondary,A little,Yes,It depends,Yes,No,,No,
178.0,Female,Grammar,Not at all,Yes,It depends,Yes,No,,No,
179.0,Male,Grammar,A little,Yes,It depends,Yes,Yes,Not at all,No,
180.0,Female,Secondary,Not at all,Yes,It depends,No,No,,No,
181.0,Male,Secondary,A little,Yes,Would talk to them,Yes,No,,No,
182.0,Female,Grammar,A little,Yes,Would talk to them,Yes,No,,No,
183.0,Female,Grammar,A little,Yes,It depends,,No,,No,
184.0,Male,Grammar,A little,Yes,It depends,Yes,No,,No,
185.0,Male,Secondary,Not at all,Yes,It depends,Yes,No,,No,
186.0,Female,Secondary,A little,No,,No,Yes,Not at all,No,
187.0,Male,Secondary,Not at all,Yes,Would talk to them,Yes,No,,No,
188.0,Female,Other,A little,Yes,Would not talk to them,No,No,,No,
189.0,Male,Secondary,A little,Yes,It depends,Don't know,No,,No,
190.0,Female,Grammar,A little,Yes,Would not talk to them,Yes,Yes,Not at all,No,
191.0,Female,Secondary,Not at all,No,,Yes,No,,No,
192.0,Female,Secondary,A little,Yes,It depends,Yes,No,,No,
193.0,Male,Secondary,A little,Yes,Would not talk to them,No,No,,Yes,A little
194.0,Male,Planned Integrated,Don't know,Don't know,,Yes,No,,No,
195.0,Male,Secondary,A little,Don't know,,,Yes,A little,Yes,Not at all 
196.0,Male,Planned Integrated,Don't know,Yes,It depends,Yes,No,,No,
197.0,Male,Grammar,A little,No,,Don't know,No,,No,
198.0,Female,Secondary,A little,,,,No,,No,
199.0,Female,Secondary,A little,Yes,Would talk to them,Yes,No,,No,
200.0,Female,Secondary,A little,Yes,Would talk to them,Yes,No,,No,
201.0,Female,Secondary,A little,Don't know,,Don't know,No,,No,
202.0,Female,Grammar,A little,Don't know,,Yes,No,,No,
203.0,Male,Grammar,A little,Yes,It depends,Yes,Yes,Not at all,Yes,Not at all 
204.0,Male,Other,A little,Yes,It depends,No,No,,No,
205.0,Female,Secondary,Don't know,Don't know,,Yes,Yes,Not at all,No,
206.0,Female,Secondary,A lot,Yes,It depends,Yes,Yes,A little,No,
207.0,Male,Grammar,Not at all,Yes,It depends,Yes,No,,No,
208.0,Female,Grammar,A little,No,,No,No,,No,
209.0,Female,Grammar,A lot,Yes,Would not talk to them,Yes,No,,No,
210.0,Male,Secondary,A little,Yes,Would talk to them,Yes,No,,No,
211.0,Female,Secondary,Don't know,Yes,It depends,Don't know,No,,No,
212.0,Female,Secondary,Don't know,Yes,Would not talk to them,Yes,No,,No,
213.0,Female,Grammar,A little,Yes,Would not talk to them,No,No,,No,
214.0,Male,Grammar,A little,Yes,Would talk to them,Yes,No,,No,
215.0,Female,Secondary,A little,Don't know,,No,No,,No,
216.0,Male,Secondary,Don't know,Don't know,,Don't know,Yes,A little,No,
217.0,Male,Secondary,A little,Don't know,,Yes,No,,No,
218.0,Male,Secondary,A lot,Yes,Would not talk to them,No,Yes,A little,No,
219.0,Female,Planned Integrated,Not at all,Yes,Would talk to them,Yes,No,,No,
220.0,Male,Secondary,A little,No,,No,No,,No,
221.0,Female,Secondary,A little,Yes,Would not talk to them,Don't know,No,,No,
222.0,Female,Secondary,A little,Yes,It depends,Yes,No,,No,
223.0,Female,Grammar,A little,Yes,Would talk to them,No,No,,No,
224.0,Male,Grammar,A little,No,,Don't know,No,,No,
225.0,Male,Grammar,A little,Yes,It depends,Yes,No,,No,
226.0,Male,Planned Integrated,A little,Don't know,,Don't know,No,,No,
227.0,Female,Grammar,Not at all,Yes,Would talk to them,Yes,No,,No,
228.0,Female,Secondary,A little,Yes,It depends,Don't know,No,,No,
229.0,Female,Secondary,Don't know,No,,Yes,No,,No,
230.0,Female,Secondary,A little,Yes,It depends,Yes,Yes,Not at all,No,
231.0,Female,Secondary,A lot,Yes,It depends,Yes,Yes,A little,Yes,A little
232.0,Female,Secondary,A little,Yes,Would not talk to them,Yes,Yes,Not at all,Yes,A little
233.0,Female,Grammar,A little,No,,Yes,No,,No,
234.0,Female,Secondary,A lot,Yes,Would not talk to them,No,Yes,A little,No,
235.0,Female,Secondary,A little,Yes,It depends,Yes,No,,No,
236.0,Female,Grammar,Don't know,Yes,It depends,Yes,No,,No,
237.0,Female,Secondary,Don't know,Yes,Would not talk to them,Yes,No,,No,
238.0,Female,Planned Integrated,A little,Yes,It depends,Yes,Yes,A little,No,
239.0,Female,Grammar,A little,Don't know,,Yes,No,,No,
240.0,Female,Grammar,A little,Yes,It depends,Yes,Yes,Not at all,No,
241.0,Female,Secondary,A little,No,,No,No,,No,
242.0,Female,Grammar,Not at all,Don't know,,Yes,No,,No,
243.0,Male,Grammar,Not at all,No,,Yes,No,,No,
244.0,Female,Secondary,A little,Yes,It depends,Yes,No,,No,
245.0,Female,Secondary,A little,Yes,It depends,No,No,,No,
246.0,Male,Other,Not at all,Yes,Would talk to them,Yes,No,,No,
247.0,Female,Secondary,A lot,No,,No,No,,Yes,Not at all 
248.0,Female,Secondary,A lot,Yes,It depends,Yes,No,,No,
249.0,Female,Secondary,A little,Yes,It depends,Yes,No,,No,
250.0,Female,Secondary,A little,No,,No,No,,No,
251.0,Male,Secondary,A little,No,,No,Yes,A little,No,
252.0,Female,Secondary,A little,No,,Yes,No,,No,
253.0,Female,Secondary,A little,Yes,It depends,Yes,No,,No,
254.0,Female,Grammar,Don't know,Don't know,,No,No,,No,
255.0,Female,Secondary,Not at all,Yes,Would talk to them,Yes,No,,No,
256.0,Female,Grammar,A little,Yes,It depends,Don't know,No,,No,
257.0,Male,,A little,Don't know,,Yes,No,,No,
258.0,Male,Secondary,A little,Yes,Would talk to them,Yes,Yes,Not at all,No,
259.0,Male,Secondary,A lot,Yes,It depends,Yes,Yes,Not at all,No,
260.0,Male,Secondary,A little,Yes,It depends,Yes,No,,No,
261.0,Female,Secondary,Not at all,Yes,It depends,Yes,No,,No,
262.0,Male,Secondary,Don't know,Don't know,,Yes,No,,No,
263.0,Female,Grammar,A little,Yes,It depends,No,Yes,Not at all,No,
264.0,Female,Secondary,A little,Yes,Would not talk to them,No,No,,No,
265.0,Female,Grammar,A little,Yes,Would talk to them,Yes,Yes,Not at all,No,
266.0,Female,Grammar,A little,Yes,It depends,Yes,No,,No,
267.0,Female,Grammar,A little,Don't know,,No,Yes,Not at all,No,
268.0,Male,Grammar,A little,Don't know,,Yes,Yes,Not at all,Yes,Not at all 
269.0,Female,Grammar,A little,Yes,It depends,Yes,No,,No,
270.0,Female,Secondary,A little,No,,No,No,,No,
271.0,Male,Secondary,A little,Yes,It depends,Don't know,No,,No,
272.0,Female,Grammar,A little,No,,Yes,No,,No,
273.0,Female,Secondary,A little,Yes,It depends,Don't know,No,,No,
274.0,Female,Grammar,A little,Yes,It depends,Yes,No,,No,
275.0,Female,Grammar,A little,Don't know,,Yes,No,,No,
276.0,Female,Grammar,A little,No,,No,Yes,A little,No,
277.0,Female,Grammar,A lot,Yes,Would not talk to them,No,No,,No,
278.0,Female,Grammar,A little,Yes,It depends,No,No,,No,
279.0,,Grammar,A little,Yes,Would not talk to them,No,No,,No,
280.0,Male,Secondary,A little,Don't know,,Don't know,No,,No,
281.0,Female,Secondary,A lot,No,,Yes,Yes,A little,No,
282.0,Female,Grammar,A little,Yes,It depends,Yes,No,,No,
283.0,Female,Grammar,A little,Yes,Would not talk to them,No,Yes,Not at all,No,
284.0,Female,Secondary,A little,Yes,It depends,Yes,Yes,Not at all,No,
285.0,Male,Grammar,A little,Yes,Would not talk to them,Yes,No,,Yes,A little
286.0,,Secondary,Not at all,Yes,Would not talk to them,No,No,,No,
287.0,Female,Secondary,A lot,Yes,Would not talk to them,No,Yes,Not at all,No,
288.0,Male,Secondary,A little,Yes,Would not talk to them,No,Yes,Not at all,No,
289.0,Female,Secondary,A little,Yes,Would not talk to them,Don't know,No,,No,
290.0,Male,Grammar,A little,Don't know,,Don't know,No,,No,
291.0,Male,Secondary,A little,No,,No,No,,No,
292.0,Male,Planned Integrated,Not at all,No,,Yes,No,,No,
293.0,Female,Grammar,A little,Don't know,,No,Yes,Not at all,No,
294.0,Female,Grammar,A little,Yes,It depends,Yes,No,,No,
295.0,Male,Grammar,A little,Yes,Would not talk to them,Yes,No,,No,
296.0,Female,Secondary,Not at all,Yes,It depends,Don't know,No,,No,
297.0,Female,Planned Integrated,A little,Yes,It depends,Yes,No,,No,
298.0,Male,Secondary,A little,Yes,Would not talk to them,Yes,No,,No,
299.0,Male,Secondary,A lot,Yes,Would not talk to them,No,Yes,Not at all,No,
300.0,Male,Grammar,A little,Yes,Would not talk to them,No,Yes,Not at all,No,
301.0,Female,Secondary,A little,Yes,It depends,Yes,Yes,A little,No,
302.0,Female,Grammar,A little,Yes,It depends,Yes,No,,No,
303.0,Male,Secondary,A little,Yes,It depends,Yes,Yes,A little,No,
304.0,Male,Grammar,A little,Yes,It depends,Don't know,No,,No,
305.0,Male,Grammar,A little,Yes,Would not talk to them,Don't know,No,,No,
306.0,Male,Planned Integrated,A little,Yes,It depends,Yes,No,,No,
307.0,Female,Secondary,A lot,Yes,Would not talk to them,Yes,Yes,Not at all,No,
308.0,Male,Grammar,A little,Yes,It depends,Yes,No,,No,
309.0,Male,Grammar,Don't know,Yes,Would talk to them,Yes,No,,No,
310.0,Male,Secondary,Not at all,Yes,Would talk to them,Yes,No,,No,
311.0,Female,Secondary,A little,Yes,It depends,Yes,Yes,Not at all,No,
312.0,Male,Secondary,A little,Yes,Would talk to them,Yes,No,,No,
313.0,Female,Secondary,A little,Yes,Would not talk to them,No,No,,No,
314.0,Male,,,,,,,,,
315.0,Male,Grammar,A little,Yes,Would not talk to them,No,Yes,Not at all,No,
316.0,Female,Secondary,A little,No,,Yes,Yes,Not at all,No,
317.0,Male,Secondary,Not at all,Yes,Would not talk to them,Yes,Yes,Not at all,No,
318.0,Male,Grammar,A little,Yes,Would not talk to them,Yes,No,,No,
319.0,Female,Secondary,A lot,Yes,Would not talk to them,No,No,,No,
320.0,Male,Grammar,A little,Yes,It depends,Yes,No,,No,
321.0,Male,Planned Integrated,Not at all,Yes,Would talk to them,Yes,No,,No,
322.0,Female,Planned Integrated,A lot,Yes,Would not talk to them,No,Yes,A little,No,
323.0,Female,Grammar,A little,Yes,It depends,Yes,No,,No,
324.0,Male,,,,,,,,,
325.0,Female,Secondary,A lot,Yes,Would talk to them,Yes,Yes,Not at all,No,
326.0,Male,Secondary,A little,Yes,It depends,Yes,No,,No,
327.0,Female,Grammar,A little,Yes,It depends,Yes,No,,No,
328.0,Female,Grammar,A little,Yes,It depends,Don't know,No,,No,
329.0,Male,Grammar,Not at all,No,,Yes,No,,No,
330.0,Male,Secondary,A little,Yes,Would not talk to them,Yes,No,,No,
331.0,Male,Grammar,A little,Don't know,,Don't know,Yes,Not at all,No,
332.0,Female,Secondary,A little,Yes,Would not talk to them,Yes,Yes,Not at all,No,
333.0,Male,Secondary,A little,Yes,It depends,Yes,No,,No,
334.0,Male,Secondary,A little,Yes,Would talk to them,Yes,No,,No,
335.0,Male,Grammar,A little,Don't know,,,No,,No,
336.0,Male,Grammar,A little,Yes,Would not talk to them,Yes,Yes,Not at all,No,
337.0,Female,Secondary,A little,Yes,It depends,Don't know,No,,No,
338.0,Male,Secondary,A little,Yes,Would talk to them,Yes,Yes,Not at all,No,
339.0,Male,Secondary,A little,Yes,It depends,Yes,No,,No,
340.0,Female,Secondary,A little,Yes,Would talk to them,Yes,Yes,Not at all,No,
341.0,Female,Secondary,A little,Yes,It depends,Yes,No,,No,
342.0,Male,Grammar,A little,Yes,Don't know,Don't know,No,,No,
343.0,Male,Secondary,Not at all,Yes,Would talk to them,Yes,No,,No,
344.0,Female,Secondary,Don't know,Don't know,,Yes,No,,No,
345.0,Male,Planned Integrated,A little,Yes,It depends,Yes,Yes,Not at all,Yes,Not at all 
346.0,Female,Grammar,A little,Yes,Would not talk to them,Yes,No,,No,
347.0,Female,Secondary,A lot,Yes,Would not talk to them,No,Yes,Not at all,No,
348.0,Male,Secondary,Don't know,Yes,Don't know,Yes,No,,No,
349.0,Male,Secondary,A little,Yes,Would not talk to them,No,No,,No,
350.0,Male,Secondary,A lot,Yes,Would not talk to them,No,No,,No,
351.0,Female,Secondary,A lot,Yes,Would talk to them,Yes,No,,No,
352.0,Female,Secondary,A little,Yes,It depends,Yes,No,,No,
353.0,Male,Grammar,Not at all,Yes,It depends,Yes,No,,No,
354.0,Male,Grammar,A little,Yes,It depends,Yes,No,,No,
355.0,Female,Grammar,A little,Don't know,,Yes,No,,No,
356.0,Male,Grammar,A little,Don't know,,Yes,Yes,Not at all,No,
357.0,Male,Grammar,Not at all,Don't know,,No,No,,No,
358.0,Male,Grammar,A little,No,,No,No,,No,
359.0,Male,Secondary,A little,No,,No,No,,No,
360.0,Male,Secondary,A lot,Yes,Would not talk to them,Yes,No,,No,
361.0,Female,Secondary,A little,Yes,Would talk to them,Yes,No,,No,
362.0,Female,Secondary,Not at all,Yes,Would talk to them,Yes,No,,No,
363.0,Female,Grammar,A little,Yes,It depends,Yes,No,,No,
364.0,Female,,A little,Yes,Would talk to them,No,No,,No,
365.0,Male,Secondary,A little,Yes,It depends,Yes,No,,Yes,A little
366.0,Female,Secondary,A little,Yes,Would talk to them,No,No,,No,
367.0,Female,Grammar,A little,No,,No,No,,No,
368.0,Female,Secondary,Not at all,Yes,It depends,Don't know,No,,No,
369.0,Male,Secondary,A little,Don't know,,Don't know,Yes,A little,No,
370.0,Female,Secondary,A little,Yes,It depends,Yes,Yes,Not at all,No,
371.0,Female,Secondary,Don't know,Yes,It depends,Yes,No,,No,
372.0,Male,Secondary,A little,Don't know,,Yes,No,,No,
373.0,Female,Grammar,A lot,Yes,Would not talk to them,No,No,,No,
374.0,Female,Secondary,A little,Don't know,,No,Yes,Not at all,No,
375.0,Male,Grammar,A little,Yes,It depends,Yes,No,,No,
376.0,Female,Planned Integrated,A little,Don't know,,No,No,,No,
377.0,Male,Grammar,A little,No,,Don't know,No,,No,
378.0,Female,Grammar,A little,Yes,Would talk to them,Yes,Yes,A little,No,
379.0,Female,Grammar,Not at all,Yes,It depends,Yes,No,,No,
380.0,Female,Grammar,Not at all,Yes,It depends,Yes,No,,No,
381.0,Female,Secondary,A little,Don't know,,Yes,No,,No,
382.0,Male,Grammar,A little,Yes,It depends,Yes,Yes,Not at all,No,
383.0,Female,Secondary,A little,Yes,It depends,Yes,No,,No,
384.0,Female,Secondary,A little,Yes,It depends,Yes,No,,No,
385.0,Female,Secondary,Not at all,Yes,It depends,Yes,Yes,Not at all,No,
386.0,Female,Grammar,A little,Yes,It depends,Yes,No,,No,
387.0,Male,Secondary,A little,Yes,It depends,No,No,,No,
388.0,Male,Grammar,Don't know,Yes,Would not talk to them,Don't know,Yes,Not at all,No,
389.0,Male,Secondary,A little,Yes,Would not talk to them,Yes,No,,No,
390.0,Female,Grammar,A little,Yes,Would talk to them,Yes,No,,No,
391.0,Female,Secondary,A little,Yes,Would talk to them,Yes,Yes,Not at all,No,
392.0,Male,Secondary,Don't know,Don't know,,Don't know,No,,No,
393.0,Female,Secondary,A little,No,,No,No,,No,
394.0,Female,Secondary,A little,Yes,It depends,Yes,No,,No,
395.0,Female,Secondary,A little,Don't know,,Don't know,No,,No,
396.0,Female,Secondary,A little,Don't know,,No,Yes,A little,Yes,A little
397.0,Female,Secondary,A little,Yes,It depends,Yes,No,,No,
398.0,Male,Grammar,Don't know,Yes,Would talk to them,Yes,No,,No,
399.0,Male,Secondary,A little,No,,No,Yes,A lot,No,
400.0,Female,Secondary,A little,Yes,Would not talk to them,Yes,No,,No,
