serial,s1gender,ethsfr,famsec,s1pared,s1expel,s1truan,s1weight,s1peta2,gcsepts,graddsci,satdsci,gradfren,satfren,gradit,satit,gradphys,satphys,gradchem,satchem,gradbiol,satbiol,gradmath,satmath,gradeng,sateng,pcschtype
20735.0,Female,White,Lower supervisory occupations,Neither parent with A-level,Not excluded,Occasional truancy,2.2260242776145045,1-4 A*-C,42.5,D,Yes,D,Yes,,No,,No,,No,,No,B,Yes,B,Yes,Independent
20784.0,Female,White,Large employers and higher professionals,At least one parent with degree,Not excluded,No truancy,0.5367011332895134,5+ A*-C,68.0,Fail,No,,No,,No,A,Yes,A,Yes,A,Yes,A*,Yes,B,Yes,Independent
20800.0,Female,White,Intermediate occupations,Neither parent with A-level,Not excluded,No truancy,2.2260242776145045,1-4 A*-C,42.0,E,Yes,,No,,No,,No,,No,,No,D,Yes,C,Yes,Independent
20818.0,Female,White,Lower professional and higher technical occupations,Neither parent with A-level,Not excluded,No truancy,0.5367011332895134,5+ A*-C,55.0,Fail,No,B,Yes,,No,B,Yes,C,Yes,B,Yes,B,Yes,A,Yes,Independent
20826.0,Female,White,Lower professional and higher technical occupations,Neither parent with A-level,Not excluded,No truancy,0.5367011332895134,5+ A*-C,72.0,Fail,No,,No,,No,A*,Yes,A*,Yes,A*,Yes,A*,Yes,A*,Yes,Independent
20834.0,Female,White,Lower professional and higher technical occupations,Neither parent with A-level,Not excluded,No truancy,0.5367011332895134,5+ A*-C,71.0,A*,Yes,A*,Yes,,No,,No,,No,,No,A,Yes,A*,Yes,Independent
20859.0,Female,White,Lower professional and higher technical occupations,At least one parent with A-level,Not excluded,No truancy,0.5367011332895134,5+ A*-C,53.0,A,Yes,,No,,No,,No,,No,,No,A,Yes,B,Yes,Independent
20867.0,Female,White,Large employers and higher professionals,Neither parent with A-level,Not excluded,No truancy,0.5367011332895134,5+ A*-C,61.0,A,Yes,A,Yes,A,Yes,,No,,No,,No,A,Yes,B,Yes,Independent
20875.0,Female,White,Large employers and higher professionals,At least one parent with degree,Not excluded,No truancy,0.5367011332895134,5+ A*-C,64.0,A,Yes,A,Yes,,No,,No,,No,,No,A,Yes,A,Yes,Independent
20891.0,Female,White,Large employers and higher professionals,At least one parent with degree,Not excluded,No truancy,0.5367011332895134,5+ A*-C,75.0,A*,Yes,,No,,No,,No,,No,,No,A*,Yes,A,Yes,Independent
20917.0,Female,White,Lower professional and higher technical occupations,At least one parent with degree,Not excluded,No truancy,0.5367011332895134,5+ A*-C,80.0,Fail,No,A*,Yes,,No,A*,Yes,A*,Yes,A*,Yes,A*,Yes,A*,Yes,Independent
20925.0,Female,White,Intermediate occupations,At least one parent with degree,Not excluded,No truancy,0.5367011332895134,5+ A*-C,51.0,C,Yes,B,Yes,,No,,No,,No,,No,B,Yes,B,Yes,Independent
20933.0,Male,White,Other,Neither parent with A-level,Not excluded,No truancy,0.5518466890003333,5+ A*-C,45.0,Fail,No,D,Yes,,No,C,Yes,,No,C,Yes,C,Yes,C,Yes,Independent
20941.0,Male,White,Large employers and higher professionals,At least one parent with degree,Not excluded,No truancy,0.5518466890003333,5+ A*-C,59.0,Fail,No,A,Yes,,No,A,Yes,,No,,No,A*,Yes,A,Yes,Independent
20958.0,Male,White,Other,Neither parent with A-level,Not excluded,No truancy,0.5518466890003333,5+ A*-C,59.0,Fail,No,A,Yes,,No,B,Yes,B,Yes,B,Yes,A,Yes,A,Yes,Independent
20966.0,Male,White,Lower professional and higher technical occupations,At least one parent with degree,Not excluded,No truancy,0.5518466890003333,5+ A*-C,60.0,Fail,No,B,Yes,,No,A*,Yes,A*,Yes,,No,A*,Yes,A,Yes,Independent
20974.0,Female,White,Lower professional and higher technical occupations,Neither parent with A-level,Not excluded,No truancy,0.5367011332895134,5+ A*-C,56.0,C,Yes,C,Yes,,No,,No,,No,,No,B,Yes,A,Yes,Independent
20990.0,Male,White,Lower professional and higher technical occupations,At least one parent with degree,Not excluded,No truancy,0.5518466890003333,5+ A*-C,71.0,Fail,No,A*,Yes,,No,A,Yes,A,Yes,A,Yes,A,Yes,B,Yes,Independent
21014.0,Male,White,Large employers and higher professionals,At least one parent with degree,Not excluded,No truancy,0.5518466890003333,5+ A*-C,53.0,B,Yes,C,Yes,,No,,No,,No,,No,B,Yes,C,Yes,Independent
21048.0,Male,Indian,Lower professional and higher technical occupations,At least one parent with degree,Not excluded,No truancy,0.5518466890003333,5+ A*-C,72.0,Fail,No,A*,Yes,,No,A,Yes,A,Yes,A,Yes,A,Yes,A,Yes,Independent
21097.0,Male,White,Large employers and higher professionals,At least one parent with degree,Suspended,No truancy,0.5518466890003333,5+ A*-C,73.0,Fail,No,A,Yes,,No,A,Yes,A,Yes,B,Yes,B,Yes,C,Yes,Independent
21105.0,Male,White,Large employers and higher professionals,At least one parent with degree,Not excluded,No truancy,0.5518466890003333,5+ A*-C,69.0,Fail,No,B,Yes,,No,A,Yes,B,Yes,B,Yes,B,Yes,A,Yes,Independent
21121.0,Male,White,Lower professional and higher technical occupations,At least one parent with A-level,Not excluded,No truancy,0.5518466890003333,5+ A*-C,85.0,Fail,No,A*,Yes,,No,A*,Yes,A,Yes,A*,Yes,A,Yes,A,Yes,Independent
21139.0,Female,White,Intermediate occupations,Neither parent with A-level,Not excluded,No truancy,0.5367011332895134,5+ A*-C,60.0,C,Yes,,No,,No,,No,,No,,No,B,Yes,B,Yes,Independent
21147.0,Female,White,Intermediate occupations,At least one parent with A-level,Not excluded,No truancy,0.5367011332895134,5+ A*-C,75.0,A,Yes,A*,Yes,,No,,No,,No,,No,A,Yes,A,Yes,Independent
21196.0,Female,White,Lower supervisory occupations,Neither parent with A-level,Not excluded,No truancy,0.5367011332895134,5+ A*-C,63.0,B,Yes,A,Yes,,No,,No,,No,,No,C,Yes,A,Yes,Independent
21204.0,Female,White,Lower professional and higher technical occupations,At least one parent with degree,Not excluded,No truancy,0.5367011332895134,5+ A*-C,70.0,Fail,No,,No,,No,A,Yes,A,Yes,A,Yes,B,Yes,A,Yes,Independent
21220.0,Female,Other Asian (inc Chinese),Large employers and higher professionals,At least one parent with degree,Not excluded,No truancy,0.5367011332895134,5+ A*-C,76.0,A*,Yes,,No,,No,,No,,No,,No,A,Yes,A*,Yes,Independent
21238.0,Female,White,Lower professional and higher technical occupations,At least one parent with degree,Not excluded,No truancy,0.5367011332895134,5+ A*-C,70.0,A,Yes,A,Yes,,No,,No,,No,,No,B,Yes,A,Yes,Independent
21246.0,Female,White,Large employers and higher professionals,Neither parent with A-level,Not excluded,No truancy,0.5367011332895134,5+ A*-C,67.0,A,Yes,,No,,No,,No,,No,,No,B,Yes,A,Yes,Independent
21279.0,Female,Pakistani,Lower professional and higher technical occupations,At least one parent with degree,Not excluded,No truancy,0.5367011332895134,5+ A*-C,70.0,A,Yes,,No,,No,,No,,No,,No,A,Yes,A*,Yes,Independent
21295.0,Female,Pakistani,Other,Neither parent with A-level,Not excluded,No truancy,2.2260242776145045,5+ D-G,16.0,Fail,No,,No,,No,,No,,No,,No,F,Yes,E,Yes,Independent
21378.0,Male,Other ethnic group(inc mixed),Semi routine and routine occupations,Neither parent with A-level,Not excluded,Occasional truancy,2.375138960073481,1-4 A*-C,30.5,C,Yes,,No,,No,,No,,No,,No,E,Yes,B,Yes,Independent
21386.0,Male,Pakistani,Lower supervisory occupations,Neither parent with A-level,Not excluded,No truancy,1.0975123081624334,5+ A*-C,41.0,B,Yes,,No,,No,,No,,No,,No,C,Yes,A,Yes,Independent
21402.0,Male,White,Intermediate occupations,At least one parent with A-level,Suspended,No truancy,1.0975123081624334,5+ A*-C,52.5,B,Yes,A,Yes,D,Yes,,No,,No,,No,B,Yes,C,Yes,Independent
21410.0,Male,White,Lower professional and higher technical occupations,At least one parent with degree,Not excluded,No truancy,0.5518466890003333,5+ A*-C,68.0,Fail,No,A*,Yes,,No,A,Yes,A*,Yes,A,Yes,A*,Yes,A,Yes,Independent
21428.0,Male,White,Intermediate occupations,Neither parent with A-level,Not excluded,No truancy,1.0975123081624334,5+ A*-C,45.0,C,Yes,B,Yes,D,Yes,,No,,No,,No,C,Yes,B,Yes,Independent
21436.0,Male,White,Lower professional and higher technical occupations,Neither parent with A-level,Not excluded,No truancy,0.5518466890003333,5+ A*-C,67.0,Fail,No,A,Yes,,No,B,Yes,A,Yes,A,Yes,A,Yes,A,Yes,Independent
21469.0,Female,Other ethnic group(inc mixed),Large employers and higher professionals,At least one parent with degree,Not excluded,No truancy,0.5367011332895134,5+ A*-C,76.0,A*,Yes,A*,Yes,,No,,No,,No,,No,A,Yes,A,Yes,Independent
21493.0,Female,Other ethnic group(inc mixed),Large employers and higher professionals,At least one parent with degree,Not excluded,Occasional truancy,0.5367011332895134,5+ A*-C,78.0,Fail,No,A*,Yes,,No,A*,Yes,A*,Yes,A*,Yes,A*,Yes,A,Yes,Independent
21501.0,Female,Pakistani,Large employers and higher professionals,At least one parent with degree,Not excluded,No truancy,0.5367011332895134,5+ A*-C,62.5,Fail,No,A,Yes,,No,B,Yes,B,Yes,A,Yes,A,Yes,B,Yes,Independent
21519.0,Female,White,Large employers and higher professionals,At least one parent with A-level,Not excluded,No truancy,0.5367011332895134,5+ A*-C,79.0,Fail,No,A*,Yes,A*,Yes,A*,Yes,A,Yes,A*,Yes,A*,Yes,A*,Yes,Independent
21535.0,Female,White,Large employers and higher professionals,At least one parent with degree,Not excluded,No truancy,0.5367011332895134,5+ A*-C,78.0,Fail,No,A*,Yes,,No,A*,Yes,A*,Yes,A*,Yes,A*,Yes,A*,Yes,Independent
21543.0,Female,White,Large employers and higher professionals,At least one parent with degree,Not excluded,No truancy,0.5367011332895134,5+ A*-C,72.0,A,Yes,A,Yes,,No,,No,,No,,No,A,Yes,A,Yes,Independent
21568.0,Female,White,Lower professional and higher technical occupations,At least one parent with degree,Not excluded,No truancy,0.5367011332895134,5+ A*-C,57.0,Fail,No,,No,,No,,No,,No,,No,B,Yes,A,Yes,Independent
21576.0,Male,White,Large employers and higher professionals,At least one parent with degree,Not excluded,No truancy,0.5518466890003333,5+ A*-C,69.0,Fail,No,A*,Yes,,No,,No,,No,A,Yes,A,Yes,A*,Yes,Independent
21584.0,Male,Indian,Intermediate occupations,At least one parent with A-level,Not excluded,No truancy,0.5518466890003333,5+ A*-C,79.0,Fail,No,A,Yes,,No,A*,Yes,A*,Yes,A*,Yes,A*,Yes,A*,Yes,Independent
21592.0,Male,White,Lower professional and higher technical occupations,At least one parent with A-level,Not excluded,No truancy,0.5518466890003333,5+ A*-C,77.0,Fail,No,A,Yes,,No,A,Yes,A*,Yes,A*,Yes,A,Yes,A*,Yes,Independent
21600.0,Male,White,Large employers and higher professionals,At least one parent with degree,Suspended,No truancy,0.5518466890003333,5+ A*-C,49.0,Fail,No,A,Yes,,No,,No,C,Yes,,No,C,Yes,A,Yes,Independent
21618.0,Male,,Large employers and higher professionals,Neither parent with A-level,Not excluded,No truancy,0.5518466890003333,5+ A*-C,80.0,Fail,No,A*,Yes,,No,A*,Yes,A*,Yes,A*,Yes,A*,Yes,A*,Yes,Independent
21634.0,Male,White,Intermediate occupations,Neither parent with A-level,Not excluded,No truancy,0.5518466890003333,5+ A*-C,65.0,Fail,No,A*,Yes,,No,B,Yes,A,Yes,,No,A,Yes,A,Yes,Independent
21659.0,Male,White,Large employers and higher professionals,At least one parent with degree,Not excluded,No truancy,0.5518466890003333,5+ A*-C,72.0,Fail,No,A*,Yes,,No,,No,,No,A*,Yes,A*,Yes,A*,Yes,Independent
21691.0,Male,White,Large employers and higher professionals,At least one parent with A-level,Not excluded,Occasional truancy,0.5518466890003333,5+ A*-C,62.0,Fail,No,A,Yes,,No,A,Yes,A,Yes,B,Yes,A,Yes,A,Yes,Independent
21709.0,Male,Pakistani,Semi routine and routine occupations,Neither parent with A-level,Not excluded,No truancy,0.5518466890003333,5+ A*-C,68.0,Fail,No,A,Yes,,No,A*,Yes,A,Yes,B,Yes,A,Yes,A,Yes,Independent
21717.0,Male,White,Large employers and higher professionals,At least one parent with degree,Not excluded,No truancy,0.5518466890003333,5+ A*-C,78.0,Fail,No,A*,Yes,,No,A*,Yes,A*,Yes,,No,A*,Yes,A*,Yes,Independent
21725.0,Male,White,Intermediate occupations,At least one parent with degree,Not excluded,No truancy,0.5518466890003333,5+ A*-C,63.0,Fail,No,A,Yes,,No,B,Yes,B,Yes,B,Yes,B,Yes,A,Yes,Independent
21741.0,Female,White,Other,Neither parent with A-level,Not excluded,No truancy,0.5367011332895134,5+ A*-C,63.5,B,Yes,B,Yes,,No,,No,,No,,No,B,Yes,A,Yes,Independent
21758.0,Female,White,Intermediate occupations,Neither parent with A-level,Not excluded,No truancy,0.5367011332895134,5+ A*-C,71.0,Fail,No,A*,Yes,,No,B,Yes,A,Yes,A*,Yes,A,Yes,A*,Yes,Independent
21766.0,Female,White,Intermediate occupations,Neither parent with A-level,Not excluded,No truancy,0.5367011332895134,5+ A*-C,70.5,A,Yes,A*,Yes,,No,,No,,No,,No,A,Yes,A,Yes,Independent
21774.0,Female,Pakistani,Other,Neither parent with A-level,Not excluded,No truancy,0.5367011332895134,5+ A*-C,72.0,Fail,No,A*,Yes,,No,A,Yes,A*,Yes,A*,Yes,A*,Yes,B,Yes,Independent
21782.0,Female,White,Intermediate occupations,Neither parent with A-level,Not excluded,No truancy,0.5367011332895134,5+ A*-C,52.0,Fail,No,C,Yes,,No,C,Yes,C,Yes,C,Yes,B,Yes,B,Yes,Independent
21790.0,Female,White,Intermediate occupations,At least one parent with degree,Not excluded,No truancy,0.5367011332895134,5+ A*-C,62.0,B,Yes,A*,Yes,,No,,No,,No,,No,A,Yes,B,Yes,Independent
21808.0,Female,White,Large employers and higher professionals,At least one parent with degree,Not excluded,No truancy,0.5367011332895134,5+ A*-C,75.0,Fail,No,A*,Yes,,No,A*,Yes,A*,Yes,A*,Yes,A*,Yes,A*,Yes,Independent
21840.0,Male,Pakistani,Lower professional and higher technical occupations,At least one parent with degree,Not excluded,Occasional truancy,0.5518466890003333,5+ A*-C,56.0,Fail,No,C,Yes,,No,B,Yes,B,Yes,B,Yes,B,Yes,A,Yes,Independent
21857.0,Male,Indian,Other,Neither parent with A-level,Not excluded,No truancy,0.5518466890003333,5+ A*-C,51.0,Fail,No,C,Yes,,No,C,Yes,D,Yes,C,Yes,B,Yes,A,Yes,Independent
21873.0,Female,Other ethnic group(inc mixed),Lower professional and higher technical occupations,Neither parent with A-level,Not excluded,No truancy,0.5367011332895134,5+ A*-C,55.0,B,Yes,B,Yes,,No,,No,,No,,No,B,Yes,B,Yes,Independent
21907.0,Female,White,Large employers and higher professionals,At least one parent with degree,Not excluded,No truancy,0.5367011332895134,5+ A*-C,60.0,Fail,No,A,Yes,A,Yes,,No,,No,A,Yes,A,Yes,A*,Yes,Independent
21915.0,Female,White,Lower professional and higher technical occupations,At least one parent with degree,Not excluded,No truancy,0.5367011332895134,5+ A*-C,57.0,Fail,No,A,Yes,,No,A,Yes,,No,A,Yes,A,Yes,A,Yes,Independent
21923.0,Female,White,Semi routine and routine occupations,At least one parent with degree,Not excluded,No truancy,0.5367011332895134,5+ A*-C,56.0,Fail,No,B,Yes,A*,Yes,,No,,No,B,Yes,A,Yes,A,Yes,Independent
21931.0,Male,White,Lower supervisory occupations,At least one parent with A-level,Not excluded,No truancy,0.5518466890003333,5+ A*-C,59.0,Fail,No,A,Yes,A*,Yes,,No,A,Yes,,No,A,Yes,A*,Yes,Independent
21956.0,Male,White,Lower professional and higher technical occupations,At least one parent with degree,Not excluded,No truancy,0.5518466890003333,5+ A*-C,53.0,Fail,No,B,Yes,,No,,No,C,Yes,,No,B,Yes,A*,Yes,Independent
21964.0,Female,White,Large employers and higher professionals,At least one parent with degree,Not excluded,No truancy,0.5367011332895134,5+ A*-C,75.0,A*,Yes,A*,Yes,,No,,No,,No,,No,A*,Yes,A*,Yes,Independent
21972.0,Female,White,Large employers and higher professionals,At least one parent with degree,Not excluded,No truancy,0.5367011332895134,5+ A*-C,74.0,A*,Yes,A*,Yes,,No,,No,,No,,No,A,Yes,A*,Yes,Independent
22020.0,Female,White,Large employers and higher professionals,At least one parent with degree,Not excluded,No truancy,0.5367011332895134,5+ A*-C,73.0,A*,Yes,A*,Yes,,No,,No,,No,,No,A*,Yes,A,Yes,Independent
22046.0,Male,Other Asian (inc Chinese),Large employers and higher professionals,At least one parent with degree,Suspended,Persistant truancy,0.5518466890003333,5+ A*-C,56.0,Fail,No,B,Yes,D,Yes,B,Yes,A,Yes,B,Yes,A,Yes,B,Yes,Independent
22061.0,Male,Indian,Lower supervisory occupations,At least one parent with A-level,Not excluded,No truancy,0.5518466890003333,5+ A*-C,71.0,A,Yes,,No,,No,,No,,No,,No,A*,Yes,A,Yes,Independent
22079.0,Male,White,Intermediate occupations,Neither parent with A-level,Not excluded,No truancy,0.5518466890003333,5+ A*-C,62.0,A,Yes,,No,,No,,No,,No,,No,A,Yes,B,Yes,Independent
22095.0,Male,White,Lower professional and higher technical occupations,At least one parent with A-level,Not excluded,No truancy,0.5518466890003333,5+ A*-C,69.0,Fail,No,,No,,No,A,Yes,A,Yes,A,Yes,A*,Yes,B,Yes,Independent
22103.0,Female,Pakistani,Intermediate occupations,At least one parent with A-level,Not excluded,No truancy,0.5367011332895134,5+ A*-C,55.5,Fail,No,,No,,No,B,Yes,B,Yes,C,Yes,B,Yes,B,Yes,Independent
22129.0,Female,White,Large employers and higher professionals,At least one parent with A-level,Not excluded,Occasional truancy,0.5367011332895134,5+ A*-C,51.5,Fail,No,A,Yes,,No,C,Yes,B,Yes,C,Yes,C,Yes,B,Yes,Independent
22137.0,Female,Other Asian (inc Chinese),Intermediate occupations,Neither parent with A-level,Not excluded,No truancy,0.5367011332895134,5+ A*-C,74.0,Fail,No,A*,Yes,,No,A*,Yes,A*,Yes,A*,Yes,A,Yes,A,Yes,Independent
22145.0,Female,Black,Large employers and higher professionals,At least one parent with degree,Not excluded,No truancy,0.5367011332895134,5+ A*-C,65.0,Fail,No,,No,,No,A,Yes,A,Yes,A,Yes,A,Yes,B,Yes,Independent
