ticknumb,location,day1,day2,day3
3056,Rural,2.61,,
3057,City,1.44,0.05,0.2
3064,City,1.57,,
3065,Rural,2.32,,
3068,Rural,1.14,,
3069,City,1.93,,
3070,City,2.47,,
3072,Rural,2.29,,
3073,Rural,1.0,,
3092,Rural,1.58,,
3093,City,2.44,,
3094,Rural,0.83,,
3095,City,2.71,0.78,0.33
3096,Rural,1.73,,
3097,City,1.58,,
3098,City,1.5,,
3100,Rural,1.05,,
3106,City,2.05,,
3107,Rural,2.63,,
3109,City,2.55,2.29,
3111,Rural,2.0,,
3112,City,2.0,,
3114,Rural,1.32,,
3116,Rural,3.14,,
3118,City,1.44,,
3129,City,1.85,0.23,
3131,Rural,1.41,0.44,
3132,Rural,1.94,,
3133,City,2.91,,
3135,Rural,1.85,,
3136,City,1.7,,
3137,Rural,2.23,,
3138,City,1.11,,
3139,Rural,1.47,,
3146,Rural,2.2,,
3147,City,1.82,,
3148,Rural,1.42,,
3168,Rural,2.44,,
3171,Rural,2.66,,
3172,City,1.52,,
3173,Rural,1.35,0.47,0.73
3180,Rural,1.29,,
3182,Rural,2.32,,
3190,City,0.78,,
3192,Rural,2.84,,
3202,City,0.97,,
3236,Rural,1.52,,
3245,Rural,1.7,,
3246,Rural,0.94,1.17,1.29
3247,City,1.41,,
3248,City,1.79,,
3249,City,1.08,0.44,0.44
3250,City,1.47,,
3251,Rural,1.79,0.47,
3253,City,2.0,,
3254,Rural,0.76,,
3255,City,2.2,,
3256,Rural,0.94,0.17,
3257,Rural,1.38,,
3258,Rural,1.38,0.85,
3260,City,0.32,,
3261,City,2.58,,
3262,City,0.51,,
3264,Rural,0.32,,
3267,Rural,0.91,1.11,1.7
3273,City,1.51,,
3275,Rural,1.47,,
3276,Rural,2.5,,
3277,Rural,2.26,,
3278,Rural,2.81,,
3279,Rural,1.87,,
3281,Rural,2.0,,
3282,Rural,2.23,0.41,1.02
3284,City,2.0,0.76,
3290,Rural,1.41,,
3291,City,1.64,,
3292,City,1.64,,
3296,City,1.26,,
3306,Rural,1.52,0.55,1.88
3307,City,2.44,1.02,0.76
3308,Rural,2.18,,
3309,Rural,3.02,,
3310,Rural,1.02,,
3311,Rural,2.88,,
3312,City,1.54,,
3313,Rural,1.64,,
3314,Rural,2.44,2.5,1.7
3315,Rural,1.29,,
3316,Rural,1.61,0.32,0.26
3321,Rural,1.77,,
3325,City,0.91,0.17,
3326,Rural,0.85,0.2,0.38
3327,City,0.85,0.52,0.44
3328,Rural,1.5,,
3329,City,1.05,0.23,
3338,Rural,3.38,,
3340,Rural,1.42,0.52,2.0
3341,Rural,1.85,,
3348,Rural,1.91,0.84,
3349,City,0.82,0.26,
3350,Rural,1.32,0.76,
3351,Rural,2.23,0.85,0.39
3352,Rural,1.47,1.52,0.17
3363,Rural,2.7,,
3365,City,1.58,,
3366,City,1.0,,
3367,Rural,1.44,,
3368,Rural,2.0,,
3369,City,1.6,,
3370,Rural,2.32,2.53,1.67
3371,Rural,3.41,,
3372,Rural,2.02,,
3373,City,0.64,0.52,
3374,City,3.58,3.35,
3375,City,1.5,,
3376,City,1.08,,
3377,Rural,1.52,,
3378,City,1.26,,
3379,Rural,1.68,,
3380,City,1.47,1.08,0.58
3390,Rural,1.47,,
3391,Rural,1.67,1.55,
3392,Rural,2.47,1.97,
3393,City,1.82,,
3394,Rural,2.17,,
3395,Rural,3.21,,
3397,Rural,1.6,1.38,1.02
3398,Rural,0.32,,
3407,Rural,0.55,,
3411,Rural,1.42,,
3412,City,1.14,,
3413,Rural,2.64,,
3416,Rural,2.58,,
3418,Rural,2.02,,
3419,City,2.0,,
3420,Rural,2.9,,
3423,City,1.82,,
3429,Rural,0.5,,
3431,City,1.53,,
3449,Rural,2.48,,
3450,Rural,2.05,,
3453,City,2.52,,
3454,Rural,1.88,,
3455,City,2.73,,
3456,Rural,2.88,,
3457,Rural,1.67,,
3458,Rural,1.93,,
3460,Rural,1.67,,
3461,City,1.2,,
3464,Rural,2.75,,
3467,Rural,1.94,0.97,
3468,Rural,0.59,,
3469,Rural,1.5,,
3477,City,1.58,0.94,0.94
3480,Rural,2.23,0.11,0.17
3483,Rural,2.35,,
3490,Rural,2.55,0.82,0.29
3493,City,1.55,,
3494,Rural,2.31,,
3495,City,2.23,,
3500,Rural,0.67,0.5,
3501,City,2.51,,
3503,City,1.08,0.58,0.61
3510,Rural,2.44,,
3511,Rural,0.23,0.14,
3512,Rural,2.17,,
3518,City,1.9,1.17,
3519,Rural,1.67,0.44,
3521,Rural,2.0,0.58,0.52
3522,Rural,2.44,,
3523,City,1.44,,
3524,City,0.82,,
3525,Rural,2.5,,
3526,City,1.82,,
3536,Rural,1.97,,
3539,Rural,2.52,,
3540,Rural,0.05,,
3542,Rural,2.08,,
3545,Rural,2.39,,
3546,City,1.45,0.82,
3551,City,2.58,,
3557,Rural,2.12,,
3565,Rural,2.02,0.76,0.55
3567,City,1.78,1.14,0.44
3568,City,0.73,0.17,0.76
3569,Rural,2.26,0.9,1.85
3570,Rural,2.79,,
3571,City,0.43,0.67,0.14
3572,City,0.52,0.38,0.7
3573,Rural,2.32,,
3574,City,2.22,,
3575,City,0.58,,
3576,City,2.0,,
3577,Rural,0.7,,
3586,City,1.0,,
3587,City,0.3,,
3588,City,1.52,,
3593,Rural,1.58,0.35,
3594,City,2.34,,
3595,Rural,0.79,,
3596,Rural,2.26,,
3597,City,2.35,,
3598,Rural,1.7,,
3599,Rural,3.09,,
3600,Rural,1.52,,
3601,Rural,0.35,,
3602,Rural,2.7,,
3603,Rural,1.64,,
3605,City,0.82,,
3606,City,2.73,,
3607,Rural,2.23,,
3609,Rural,1.06,,
3610,City,2.05,0.2,0.35
3613,Rural,1.73,1.44,
3614,Rural,0.93,0.91,
3620,Rural,2.5,2.44,
3621,City,1.44,,
3622,Rural,2.88,,
3625,Rural,0.67,0.23,0.44
3626,City,1.85,0.35,
3627,Rural,1.21,0.79,
3628,City,1.06,0.76,0.7
3629,City,0.61,0.26,0.33
3631,Rural,2.0,,
3634,Rural,1.17,0.73,1.17
3635,Rural,1.48,0.79,1.55
3645,Rural,1.55,,
3646,Rural,3.29,,
3647,City,1.47,,
3648,City,0.96,,
3649,City,1.0,1.11,1.2
3652,City,1.47,,
3653,Rural,2.55,2.38,
3654,Rural,0.44,0.06,
3655,Rural,2.35,2.41,
3656,Rural,1.71,0.85,
3659,City,1.84,0.58,0.7
3660,Rural,1.11,0.23,0.55
3667,Rural,1.38,,
3669,City,0.88,,
3670,Rural,0.94,,
3672,Rural,1.91,,
3676,City,2.76,,
3677,City,1.55,0.32,0.47
3678,City,2.67,,
3680,Rural,1.03,0.29,0.72
3696,Rural,2.5,,
3697,City,1.64,,
3698,Rural,2.26,,
3709,Rural,2.14,,
3710,City,0.52,,
3711,City,1.08,,
3712,City,1.69,,
3713,City,2.73,,
3714,City,1.91,,
3715,City,1.73,,
3716,Rural,3.21,,
3717,Rural,2.11,,
3718,Rural,2.05,,
3719,City,2.17,,
3720,Rural,2.17,,
3721,Rural,2.3,,
3722,Rural,2.56,,
3723,Rural,2.11,0.41,0.47
3724,City,1.7,,
3725,Rural,1.23,,
3726,Rural,3.2,,
3727,Rural,2.02,,
3728,Rural,2.64,,
3729,City,2.52,0.14,
3730,City,1.61,,
3731,City,1.5,1.2,0.91
3734,City,1.15,0.45,0.44
3736,City,1.82,,
3753,Rural,1.5,,
3754,Rural,2.32,,
3759,Rural,2.92,,
3764,City,1.41,,
3769,City,1.35,,
3778,City,0.61,0.14,
3779,Rural,0.73,,
3782,Rural,2.23,1.88,
3783,Rural,1.32,0.91,
3784,Rural,2.94,1.79,
3785,City,1.61,,
3786,Rural,1.0,,
3787,Rural,3.15,3.0,
3788,Rural,2.88,,
3791,Rural,2.09,1.21,
3792,Rural,1.32,1.7,2.29
3793,City,1.47,0.35,
3794,City,1.61,,
3796,City,2.2,1.5,1.88
3797,Rural,2.78,,
3798,Rural,2.06,,
3799,Rural,0.47,,
3804,Rural,2.87,,
3826,City,1.14,,
3828,Rural,3.32,3.21,
3831,Rural,2.08,1.38,
3836,Rural,2.38,2.5,
3837,Rural,2.08,,
3838,City,1.85,,
3840,City,1.38,,
3844,City,1.14,,
3846,City,1.58,,
3849,City,1.23,0.7,1.02
3850,Rural,2.53,,
3851,City,0.67,,
3854,Rural,0.73,,
3855,Rural,1.34,,
3856,Rural,2.14,0.7,
3857,Rural,1.0,,
3858,City,1.35,,
3859,City,1.94,0.79,
3860,City,0.5,,
3869,Rural,3.08,,
3870,Rural,2.88,,
3871,Rural,1.91,,
3872,City,1.41,,
3873,City,2.02,,
3874,Rural,0.76,,
3875,City,1.94,,
3876,City,0.67,0.28,
3879,Rural,2.41,,
3880,Rural,2.17,,
3882,Rural,2.67,0.41,
3883,City,1.94,0.64,
3888,Rural,2.05,0.85,1.7
3890,City,2.17,,
3909,City,0.47,,
3912,City,0.62,0.76,
3913,Rural,2.0,,
3914,City,0.45,,
3916,Rural,2.29,0.91,1.38
3917,Rural,2.55,,
3918,Rural,0.82,,
3919,Rural,3.12,2.2,
3920,City,2.5,2.23,0.41
3921,City,1.79,,
3922,Rural,2.28,,
3923,City,0.58,1.05,0.58
3924,Rural,2.5,1.29,
3925,Rural,1.41,,
3926,Rural,2.14,,
3927,City,0.76,0.26,
3929,City,1.79,1.11,
3930,City,1.02,0.35,
3932,Rural,2.62,,
3942,City,0.88,,
3944,City,1.58,0.2,0.2
3945,Rural,2.2,,
3946,Rural,1.14,,
3947,City,1.47,0.52,0.35
3948,Rural,1.41,0.23,0.38
3949,City,1.44,1.76,1.18
3950,Rural,1.23,1.17,
3951,Rural,1.82,,
3952,Rural,2.44,,
3954,Rural,1.94,1.2,
3955,City,2.41,,
3964,Rural,2.27,,
3965,City,1.79,0.23,
3966,City,1.88,,
3972,City,1.85,0.64,1.32
3973,Rural,2.21,,
3986,City,1.97,1.94,
3987,Rural,2.51,,
3988,Rural,2.05,,
3989,Rural,1.29,1.0,0.82
3990,Rural,2.05,,
3991,Rural,2.23,,
3992,Rural,1.76,,
3993,City,1.05,,
3994,City,1.79,,
3995,Rural,1.02,0.73,0.47
3996,Rural,2.76,1.58,
3997,Rural,1.67,0.55,
4010,City,2.85,,
4011,Rural,0.23,0.84,
4012,Rural,1.9,,
4013,City,1.23,0.52,
4014,City,1.97,,
4015,Rural,1.5,,
4016,Rural,3.69,,
4017,Rural,0.5,,
4022,Rural,2.18,,
4023,Rural,2.17,,
4024,Rural,1.58,,
4025,City,2.88,,
4030,City,2.52,,
4032,Rural,2.2,,
4033,City,1.73,,
4034,Rural,2.23,,
4079,City,1.97,,
4089,City,1.2,0.67,0.91
4090,City,2.0,,
4092,Rural,1.91,,
4093,City,0.81,,
4095,Rural,1.31,,
4096,Rural,0.38,,
4101,Rural,1.97,,
4104,Rural,0.38,,
4105,Rural,2.11,0.76,0.85
4106,Rural,3.2,,
4107,Rural,0.02,,
4109,Rural,2.56,,
4110,Rural,2.02,,
4111,Rural,2.3,,
4114,City,2.02,,
4147,Rural,2.05,,
4148,Rural,1.7,,
4149,City,1.61,,
4150,City,0.73,,
4151,City,2.5,1.64,
4152,Rural,2.18,1.75,1.91
4153,Rural,2.46,1.08,1.91
4154,Rural,1.5,0.91,
4155,Rural,1.73,0.94,
4156,City,1.44,,
4157,City,1.64,0.32,0.52
4158,Rural,2.02,2.44,
4159,Rural,1.2,0.17,0.2
4160,City,0.38,0.02,
4161,Rural,1.58,1.54,1.76
4162,Rural,1.67,0.5,
4163,Rural,1.0,0.48,
4164,Rural,2.58,1.35,
4165,Rural,2.82,2.61,3.02
4166,Rural,2.29,2.05,
4167,Rural,1.14,,
4168,Rural,1.64,0.76,
4171,Rural,1.82,0.08,
4172,Rural,3.32,2.91,3.02
4193,City,3.32,,
4194,City,1.85,1.0,1.5
4195,City,2.29,,
4196,Rural,1.47,0.47,1.58
4197,City,2.08,0.7,0.67
4198,City,2.2,,
4199,Rural,1.06,1.45,
4216,Rural,0.97,0.14,0.02
4218,City,2.0,,
4219,Rural,1.67,0.38,
4220,Rural,2.94,,
4221,Rural,1.55,,
4222,City,0.88,0.26,
4223,Rural,1.35,2.32,
4224,Rural,0.61,0.2,0.17
4225,City,1.0,,
4226,Rural,1.52,2.72,0.52
4234,City,1.0,,
4235,City,1.76,0.41,0.88
4236,Rural,2.52,,
4237,Rural,2.0,0.88,1.44
4238,Rural,2.63,,
4239,Rural,0.73,0.85,
4240,City,1.58,0.23,1.66
4241,Rural,0.58,,
4245,Rural,1.67,,
4247,Rural,1.47,,
4249,Rural,1.81,,
4256,City,1.91,,
4257,City,1.06,,
4259,City,1.47,1.23,0.94
4262,City,2.52,,
4263,Rural,1.85,0.2,
4264,City,3.44,,
4265,Rural,1.55,1.32,1.19
4266,Rural,2.29,2.7,
4267,Rural,1.76,,
4268,City,1.9,,
4269,City,2.52,2.55,
4271,Rural,2.52,,
4274,Rural,2.82,0.17,
4281,Rural,2.02,,
4284,Rural,1.29,,
4285,City,1.26,,
4287,Rural,0.94,,
4291,Rural,2.0,1.13,0.53
4292,Rural,0.73,,
4294,City,2.26,0.79,
4295,Rural,2.23,,
4297,City,2.35,,
4298,Rural,0.55,0.38,
4301,Rural,1.85,,
4302,City,0.67,,
4305,City,1.85,1.0,
4306,City,1.23,0.2,
4308,Rural,2.35,,
4309,City,1.35,,
4310,Rural,1.94,,
4311,City,1.55,,
4312,Rural,1.29,,
4313,City,2.17,,
4314,Rural,1.91,,
4333,Rural,2.88,,
4334,Rural,2.36,,
4335,Rural,2.36,,
4336,Rural,2.2,,
4349,Rural,2.17,0.47,0.38
4351,City,0.52,,
4352,City,0.32,,
4353,Rural,1.52,0.55,
4354,City,2.0,0.94,0.08
4355,City,1.32,1.02,1.2
4356,Rural,2.05,,
4357,Rural,1.73,,
4358,City,1.94,,
4359,Rural,1.81,,
4360,City,0.9,0.64,
4361,City,1.58,0.67,
4363,Rural,2.29,1.87,0.91
4366,Rural,2.57,,
4370,Rural,1.58,,
4382,Rural,2.33,0.82,
4383,Rural,3.15,,
4384,Rural,2.29,,
4385,Rural,0.82,,
4386,Rural,1.93,,
4387,Rural,1.82,,
4388,Rural,1.96,,
4389,Rural,1.32,0.64,0.47
4391,Rural,1.02,,
4392,Rural,1.14,,
4393,Rural,2.32,,
4394,City,2.16,,
4396,Rural,2.42,1.7,
4397,Rural,1.14,,
4398,City,1.55,0.79,1.76
4404,Rural,1.17,,
4405,Rural,1.0,0.58,0.32
4410,Rural,1.05,0.11,
4419,Rural,1.38,,
4428,Rural,1.93,2.42,
4430,Rural,2.73,,
4435,Rural,2.02,,
4436,Rural,2.81,,
4437,Rural,2.47,,
4439,City,1.35,,
4440,City,2.08,,
4441,Rural,2.5,,
4442,Rural,2.45,,
4443,Rural,2.17,,
4444,City,1.7,0.0,
4445,City,0.7,0.23,0.45
4446,City,1.51,,
4447,Rural,1.23,,
4448,Rural,2.14,0.85,
4452,City,1.14,1.14,
4453,Rural,0.96,,
4454,City,1.52,1.14,1.26
4455,City,0.52,,
4456,City,1.56,,
4459,Rural,3.29,0.26,
4464,City,0.45,,
4467,Rural,2.63,,
4468,Rural,1.7,,
4470,City,3.11,,
4479,Rural,1.82,,
4481,Rural,1.58,0.14,
4482,Rural,2.73,,
4485,Rural,1.5,1.14,
4486,City,1.78,1.02,
4488,Rural,2.02,,
4507,City,0.67,0.94,0.91
4509,Rural,1.41,0.55,
4510,City,0.9,,
4511,Rural,1.23,1.11,0.76
4512,Rural,2.7,,
4514,Rural,1.97,,
4515,City,0.84,,
4516,City,1.79,,
4517,Rural,2.84,,
4518,City,2.02,,
4519,City,1.64,0.7,
4525,Rural,1.08,,
4533,Rural,2.97,,
4552,Rural,0.94,,
4553,Rural,2.97,1.94,
4554,Rural,0.97,,
4555,City,1.47,,
4559,Rural,2.61,,
4563,Rural,1.73,0.2,0.91
4564,Rural,3.38,3.44,3.41
4569,City,3.17,1.0,1.73
4570,Rural,2.2,0.91,
4571,Rural,2.14,,
4582,City,1.29,1.58,0.81
4590,Rural,3.21,2.85,
4597,City,2.67,,
4598,City,1.85,0.79,
4601,Rural,1.35,,
4607,Rural,2.14,0.76,
4611,City,1.24,0.56,
4654,Rural,2.02,1.78,2.55
4655,Rural,2.32,,
4663,City,1.08,0.23,
4666,City,1.14,1.35,1.02
4690,Rural,2.14,1.82,
4692,Rural,2.88,,
4693,City,1.35,0.17,0.44
4694,City,1.0,1.7,
4695,City,2.02,,
4696,Rural,0.64,1.32,
4697,City,0.29,0.14,
4698,Rural,1.73,0.94,
4699,Rural,1.82,1.52,
4704,Rural,2.11,,
4710,Rural,1.23,,
4711,City,0.64,,
4724,City,2.23,1.41,2.11
4725,Rural,2.44,0.32,
4740,City,1.17,0.58,
4744,Rural,0.61,0.44,
4749,Rural,0.52,,
4756,Rural,2.91,0.94,
4758,Rural,2.61,1.44,
4759,Rural,1.47,,
4760,City,1.28,,
4765,Rural,1.26,,
