id,npqc_r_total,rating_type,rating
70,23.0,Glamourous,1
70,23.0,Attractive,2
70,23.0,Fashionable,2
70,23.0,Cool,3
71,41.0,Fashionable,3
71,41.0,Glamourous,4
71,41.0,Cool,4
71,41.0,Attractive,5
72,36.0,Attractive,3
72,36.0,Fashionable,3
72,36.0,Glamourous,3
72,36.0,Cool,3
73,29.0,Attractive,3
73,29.0,Fashionable,3
73,29.0,Glamourous,3
73,29.0,Cool,3
74,34.0,Attractive,2
74,34.0,Glamourous,2
74,34.0,Fashionable,3
74,34.0,Cool,3
75,50.0,Attractive,3
75,50.0,Glamourous,3
75,50.0,Fashionable,4
75,50.0,Cool,4
76,36.0,Attractive,3
76,36.0,Fashionable,3
76,36.0,Glamourous,3
76,36.0,Cool,4
77,27.0,Attractive,3
77,27.0,Fashionable,3
77,27.0,Glamourous,3
77,27.0,Cool,3
78,31.0,Attractive,3
78,31.0,Fashionable,3
78,31.0,Glamourous,3
78,31.0,Cool,3
79,35.0,Fashionable,3
79,35.0,Cool,3
79,35.0,Attractive,4
79,35.0,Glamourous,4
80,25.0,Fashionable,2
80,25.0,Glamourous,2
80,25.0,Cool,2
80,25.0,Attractive,3
81,23.0,Attractive,3
81,23.0,Fashionable,3
81,23.0,Glamourous,3
81,23.0,Cool,3
82,32.0,Attractive,1
82,32.0,Fashionable,1
82,32.0,Glamourous,1
82,32.0,Cool,3
83,32.0,Attractive,3
83,32.0,Fashionable,3
83,32.0,Glamourous,3
83,32.0,Cool,4
84,32.0,Attractive,3
84,32.0,Fashionable,3
84,32.0,Glamourous,3
84,32.0,Cool,3
85,25.0,Glamourous,2
85,25.0,Attractive,3
85,25.0,Fashionable,3
85,25.0,Cool,3
86,36.0,Cool,2
86,36.0,Attractive,3
86,36.0,Fashionable,3
86,36.0,Glamourous,3
87,37.0,Attractive,3
87,37.0,Fashionable,3
87,37.0,Glamourous,3
87,37.0,Cool,3
88,33.0,Attractive,3
88,33.0,Fashionable,3
88,33.0,Glamourous,3
88,33.0,Cool,3
89,19.0,Attractive,2
89,19.0,Fashionable,2
89,19.0,Glamourous,2
89,19.0,Cool,2
90,25.0,Fashionable,1
90,25.0,Glamourous,1
90,25.0,Cool,1
90,25.0,Attractive,2
91,36.0,Fashionable,1
91,36.0,Cool,1
91,36.0,Attractive,2
91,36.0,Glamourous,2
92,33.0,Attractive,3
92,33.0,Fashionable,3
92,33.0,Glamourous,3
92,33.0,Cool,3
93,29.0,Attractive,3
93,29.0,Fashionable,3
93,29.0,Glamourous,3
93,29.0,Cool,3
94,31.0,Attractive,1
94,31.0,Fashionable,1
94,31.0,Glamourous,1
94,31.0,Cool,1
98,34.0,Attractive,3
98,34.0,Fashionable,3
98,34.0,Glamourous,3
98,34.0,Cool,3
99,34.0,Glamourous,4
99,34.0,Cool,4
99,34.0,Attractive,5
99,34.0,Fashionable,5
100,26.0,Attractive,1
100,26.0,Fashionable,1
100,26.0,Glamourous,1
100,26.0,Cool,1
101,20.0,Attractive,1
101,20.0,Glamourous,1
101,20.0,Fashionable,2
101,20.0,Cool,3
102,36.41,Attractive,2
102,36.41,Fashionable,3
102,36.41,Glamourous,3
102,36.41,Cool,4
103,28.46,Attractive,5
103,28.46,Fashionable,5
103,28.46,Glamourous,5
103,28.46,Cool,5
104,45.0,Fashionable,3
104,45.0,Glamourous,3
104,45.0,Attractive,4
104,45.0,Cool,5
105,28.0,Attractive,2
105,28.0,Glamourous,2
105,28.0,Fashionable,3
105,28.0,Cool,3
107,29.0,Fashionable,2
107,29.0,Cool,2
107,29.0,Attractive,3
107,29.0,Glamourous,3
109,36.0,Attractive,3
109,36.0,Fashionable,3
109,36.0,Glamourous,3
109,36.0,Cool,3
110,42.0,Fashionable,1
110,42.0,Glamourous,2
110,42.0,Attractive,3
110,42.0,Cool,3
111,27.44,Cool,1
111,27.44,Attractive,2
111,27.44,Fashionable,2
111,27.44,Glamourous,2
112,23.0,Glamourous,1
112,23.0,Attractive,2
112,23.0,Fashionable,2
112,23.0,Cool,2
114,40.52,Fashionable,1
114,40.52,Glamourous,1
114,40.52,Attractive,2
114,40.52,Cool,2
116,41.0,Attractive,3
116,41.0,Glamourous,3
116,41.0,Cool,3
116,41.0,Fashionable,4
117,17.0,Attractive,1
117,17.0,Fashionable,1
117,17.0,Glamourous,1
117,17.0,Cool,1
119,39.0,Glamourous,2
119,39.0,Attractive,3
119,39.0,Fashionable,3
119,39.0,Cool,3
120,24.0,Attractive,3
120,24.0,Fashionable,3
120,24.0,Glamourous,3
120,24.0,Cool,3
121,50.0,Attractive,3
121,50.0,Glamourous,3
121,50.0,Fashionable,4
121,50.0,Cool,5
123,35.0,Attractive,3
123,35.0,Fashionable,3
123,35.0,Glamourous,3
123,35.0,Cool,3
124,21.0,Attractive,1
124,21.0,Glamourous,1
124,21.0,Cool,1
124,21.0,Fashionable,2
125,28.0,Attractive,2
125,28.0,Glamourous,2
125,28.0,Cool,2
125,28.0,Fashionable,3
126,22.0,Attractive,3
126,22.0,Fashionable,3
126,22.0,Glamourous,3
126,22.0,Cool,3
127,35.0,Attractive,3
127,35.0,Fashionable,3
127,35.0,Glamourous,3
127,35.0,Cool,3
129,29.0,Attractive,4
129,29.0,Fashionable,4
129,29.0,Glamourous,4
129,29.0,Cool,4
131,42.0,Attractive,4
131,42.0,Fashionable,4
131,42.0,Glamourous,4
131,42.0,Cool,4
132,27.0,Cool,2
132,27.0,Attractive,3
132,27.0,Fashionable,3
132,27.0,Glamourous,3
133,27.0,Attractive,3
133,27.0,Fashionable,3
133,27.0,Glamourous,3
133,27.0,Cool,3
134,36.0,Cool,3
134,36.0,Attractive,4
134,36.0,Fashionable,5
134,36.0,Glamourous,5
136,40.0,Glamourous,2
136,40.0,Attractive,3
136,40.0,Fashionable,3
136,40.0,Cool,3
137,25.0,Cool,1
137,25.0,Fashionable,2
137,25.0,Glamourous,2
137,25.0,Attractive,3
138,42.0,Attractive,3
138,42.0,Fashionable,3
138,42.0,Glamourous,3
138,42.0,Cool,3
140,25.0,Attractive,1
140,25.0,Fashionable,1
140,25.0,Glamourous,3
140,25.0,Cool,5
141,33.0,Attractive,3
141,33.0,Fashionable,3
141,33.0,Glamourous,3
141,33.0,Cool,3
142,36.0,Attractive,5
142,36.0,Fashionable,5
142,36.0,Glamourous,5
142,36.0,Cool,5
143,45.0,Attractive,5
143,45.0,Fashionable,5
143,45.0,Glamourous,5
143,45.0,Cool,5
147,31.0,Attractive,3
147,31.0,Fashionable,3
147,31.0,Glamourous,3
147,31.0,Cool,3
148,23.0,Fashionable,1
148,23.0,Glamourous,1
148,23.0,Attractive,2
148,23.0,Cool,2
150,28.0,Fashionable,2
150,28.0,Glamourous,2
150,28.0,Cool,2
150,28.0,Attractive,3
152,26.0,Attractive,3
152,26.0,Fashionable,3
152,26.0,Glamourous,3
152,26.0,Cool,3
153,37.06,Fashionable,3
153,37.06,Cool,3
153,37.06,Attractive,4
153,37.06,Glamourous,4
154,38.0,Attractive,3
154,38.0,Fashionable,3
154,38.0,Glamourous,3
154,38.0,Cool,3
157,23.0,Attractive,2
157,23.0,Fashionable,2
157,23.0,Glamourous,2
157,23.0,Cool,2
158,40.0,Fashionable,4
158,40.0,Glamourous,4
158,40.0,Attractive,5
158,40.0,Cool,5
159,41.0,Fashionable,2
159,41.0,Cool,2
159,41.0,Glamourous,3
159,41.0,Attractive,4
161,28.0,Attractive,1
161,28.0,Fashionable,1
161,28.0,Glamourous,3
161,28.0,Cool,5
162,47.0,Attractive,5
162,47.0,Fashionable,5
162,47.0,Glamourous,5
162,47.0,Cool,5
163,46.0,Attractive,3
163,46.0,Fashionable,3
163,46.0,Glamourous,3
163,46.0,Cool,3
165,30.0,Attractive,3
165,30.0,Fashionable,3
165,30.0,Glamourous,3
165,30.0,Cool,3
167,41.0,Attractive,3
167,41.0,Fashionable,3
167,41.0,Glamourous,3
167,41.0,Cool,4
168,34.0,Glamourous,2
168,34.0,Fashionable,3
168,34.0,Attractive,4
168,34.0,Cool,5
169,26.0,Attractive,3
169,26.0,Fashionable,3
169,26.0,Glamourous,3
169,26.0,Cool,3
170,35.0,Cool,4
170,35.0,Attractive,5
170,35.0,Fashionable,5
170,35.0,Glamourous,5
173,36.0,Fashionable,1
173,36.0,Glamourous,1
173,36.0,Attractive,2
173,36.0,Cool,4
174,30.0,Attractive,3
174,30.0,Fashionable,3
174,30.0,Glamourous,3
174,30.0,Cool,3
175,31.0,Attractive,3
175,31.0,Fashionable,3
175,31.0,Glamourous,3
175,31.0,Cool,3
178,38.0,Attractive,3
178,38.0,Fashionable,4
178,38.0,Glamourous,4
178,38.0,Cool,5
179,44.0,Attractive,3
179,44.0,Fashionable,3
179,44.0,Glamourous,3
179,44.0,Cool,3
180,24.52,Attractive,3
180,24.52,Fashionable,3
180,24.52,Glamourous,3
180,24.52,Cool,3
183,36.0,Attractive,3
183,36.0,Fashionable,3
183,36.0,Glamourous,3
183,36.0,Cool,3
184,36.0,Attractive,1
184,36.0,Fashionable,1
184,36.0,Glamourous,1
184,36.0,Cool,1
186,37.0,Attractive,2
186,37.0,Fashionable,2
186,37.0,Glamourous,2
186,37.0,Cool,2
187,52.0,Attractive,5
187,52.0,Fashionable,5
187,52.0,Glamourous,5
187,52.0,Cool,5
188,33.0,Attractive,3
188,33.0,Fashionable,3
188,33.0,Glamourous,3
188,33.0,Cool,3
189,31.0,Attractive,3
189,31.0,Glamourous,3
189,31.0,Fashionable,4
189,31.0,Cool,4
190,39.0,Attractive,3
190,39.0,Fashionable,3
190,39.0,Glamourous,3
190,39.0,Cool,3
191,27.0,Attractive,1
191,27.0,Glamourous,2
191,27.0,Fashionable,3
191,27.0,Cool,3
192,35.0,Attractive,2
192,35.0,Cool,2
192,35.0,Fashionable,3
192,35.0,Glamourous,3
193,33.0,Attractive,3
193,33.0,Fashionable,3
193,33.0,Glamourous,3
193,33.0,Cool,3
194,29.0,Attractive,2
194,29.0,Fashionable,2
194,29.0,Glamourous,2
194,29.0,Cool,2
195,38.0,Attractive,3
195,38.0,Fashionable,3
195,38.0,Glamourous,3
195,38.0,Cool,3
196,34.0,Fashionable,2
196,34.0,Glamourous,2
196,34.0,Attractive,3
196,34.0,Cool,3
198,41.0,Attractive,4
198,41.0,Fashionable,4
198,41.0,Glamourous,4
198,41.0,Cool,4
199,38.0,Attractive,1
199,38.0,Fashionable,1
199,38.0,Glamourous,1
199,38.0,Cool,1
200,32.0,Fashionable,3
200,32.0,Glamourous,3
200,32.0,Cool,3
200,32.0,Attractive,5
201,21.0,Attractive,3
201,21.0,Fashionable,3
201,21.0,Glamourous,3
201,21.0,Cool,3
202,37.0,Attractive,1
202,37.0,Fashionable,1
202,37.0,Glamourous,1
202,37.0,Cool,1
203,36.0,Attractive,3
203,36.0,Fashionable,3
203,36.0,Glamourous,3
203,36.0,Cool,3
205,45.0,Attractive,3
205,45.0,Fashionable,3
205,45.0,Glamourous,3
205,45.0,Cool,3
207,19.0,Attractive,3
207,19.0,Fashionable,3
207,19.0,Glamourous,3
207,19.0,Cool,3
208,31.0,Attractive,4
208,31.0,Fashionable,4
208,31.0,Glamourous,4
208,31.0,Cool,4
209,35.0,Attractive,2
209,35.0,Fashionable,2
209,35.0,Glamourous,2
209,35.0,Cool,5
210,23.0,Attractive,2
210,23.0,Fashionable,2
210,23.0,Glamourous,2
210,23.0,Cool,3
211,31.06,Fashionable,2
211,31.06,Glamourous,2
211,31.06,Cool,2
211,31.06,Attractive,3
214,38.0,Glamourous,4
214,38.0,Attractive,5
214,38.0,Fashionable,5
214,38.0,Cool,5
215,30.0,Attractive,2
215,30.0,Fashionable,2
215,30.0,Glamourous,2
215,30.0,Cool,5
217,39.0,Attractive,3
217,39.0,Fashionable,3
217,39.0,Glamourous,3
217,39.0,Cool,3
218,34.0,Attractive,1
218,34.0,Fashionable,1
218,34.0,Glamourous,1
218,34.0,Cool,1
220,38.0,Attractive,3
220,38.0,Fashionable,3
220,38.0,Glamourous,3
220,38.0,Cool,3
221,40.0,Attractive,3
221,40.0,Glamourous,3
221,40.0,Cool,3
221,40.0,Fashionable,4
222,27.0,Attractive,2
222,27.0,Fashionable,2
222,27.0,Glamourous,2
222,27.0,Cool,3
224,33.0,Fashionable,2
224,33.0,Cool,2
224,33.0,Attractive,3
224,33.0,Glamourous,3
226,39.47,Attractive,3
226,39.47,Fashionable,3
226,39.47,Glamourous,3
226,39.47,Cool,3
227,31.0,Attractive,2
227,31.0,Fashionable,2
227,31.0,Glamourous,2
227,31.0,Cool,2
228,24.0,Attractive,3
228,24.0,Fashionable,3
228,24.0,Glamourous,3
228,24.0,Cool,3
229,49.0,Fashionable,3
229,49.0,Glamourous,3
229,49.0,Cool,4
229,49.0,Attractive,5
230,30.0,Cool,2
230,30.0,Glamourous,3
230,30.0,Attractive,5
230,30.0,Fashionable,5
231,34.0,Attractive,4
231,34.0,Fashionable,4
231,34.0,Glamourous,4
231,34.0,Cool,4
232,32.0,Attractive,1
232,32.0,Fashionable,1
232,32.0,Glamourous,1
232,32.0,Cool,1
234,44.0,Attractive,3
234,44.0,Fashionable,3
234,44.0,Glamourous,3
234,44.0,Cool,3
235,35.0,Attractive,2
235,35.0,Fashionable,2
235,35.0,Glamourous,2
235,35.0,Cool,4
236,24.0,Attractive,3
236,24.0,Fashionable,3
236,24.0,Glamourous,3
236,24.0,Cool,3
237,32.0,Fashionable,2
237,32.0,Glamourous,2
237,32.0,Cool,2
237,32.0,Attractive,3
238,45.0,Attractive,5
238,45.0,Fashionable,5
238,45.0,Glamourous,5
238,45.0,Cool,5
240,14.0,Attractive,2
240,14.0,Fashionable,2
240,14.0,Glamourous,2
240,14.0,Cool,2
242,36.0,Fashionable,2
242,36.0,Glamourous,2
242,36.0,Attractive,3
242,36.0,Cool,4
243,41.0,Attractive,3
243,41.0,Fashionable,3
243,41.0,Glamourous,3
243,41.0,Cool,3
245,31.0,Attractive,3
245,31.0,Glamourous,3
245,31.0,Fashionable,4
245,31.0,Cool,4
247,26.0,Attractive,2
247,26.0,Fashionable,2
247,26.0,Glamourous,2
247,26.0,Cool,2
248,47.0,Attractive,3
248,47.0,Fashionable,3
248,47.0,Glamourous,3
248,47.0,Cool,3
250,29.0,Attractive,3
250,29.0,Fashionable,3
250,29.0,Glamourous,3
250,29.0,Cool,3
251,22.0,Attractive,3
251,22.0,Fashionable,3
251,22.0,Glamourous,3
251,22.0,Cool,3
255,25.0,Attractive,2
255,25.0,Fashionable,2
255,25.0,Glamourous,2
255,25.0,Cool,2
256,23.0,Attractive,2
256,23.0,Fashionable,2
256,23.0,Glamourous,2
256,23.0,Cool,2
257,22.0,Glamourous,2
257,22.0,Cool,2
257,22.0,Attractive,3
257,22.0,Fashionable,3
258,51.0,Glamourous,3
258,51.0,Attractive,4
258,51.0,Fashionable,5
258,51.0,Cool,5
260,30.0,Cool,3
260,30.0,Fashionable,4
260,30.0,Glamourous,4
260,30.0,Attractive,5
264,26.0,Attractive,2
264,26.0,Fashionable,2
264,26.0,Glamourous,3
264,26.0,Cool,3
265,34.0,Attractive,2
265,34.0,Fashionable,2
265,34.0,Glamourous,2
265,34.0,Cool,2
266,41.39,Attractive,4
266,41.39,Fashionable,4
266,41.39,Glamourous,4
266,41.39,Cool,5
267,42.0,Attractive,3
267,42.0,Fashionable,3
267,42.0,Glamourous,3
267,42.0,Cool,4
268,33.0,Fashionable,2
268,33.0,Glamourous,3
268,33.0,Cool,3
268,33.0,Attractive,4
269,36.0,Attractive,3
269,36.0,Fashionable,3
269,36.0,Glamourous,3
269,36.0,Cool,3
270,37.0,Attractive,5
270,37.0,Fashionable,5
270,37.0,Glamourous,5
270,37.0,Cool,5
271,30.0,Attractive,3
271,30.0,Glamourous,3
271,30.0,Fashionable,4
271,30.0,Cool,4
272,36.0,Attractive,3
272,36.0,Fashionable,3
272,36.0,Glamourous,3
272,36.0,Cool,3
273,36.0,Attractive,3
273,36.0,Fashionable,3
273,36.0,Glamourous,3
273,36.0,Cool,3
274,38.0,Attractive,3
274,38.0,Fashionable,4
274,38.0,Glamourous,4
274,38.0,Cool,5
275,42.0,Attractive,4
275,42.0,Fashionable,4
275,42.0,Glamourous,4
275,42.0,Cool,4
